time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638521426981134863,468072,-9.560289,0.6693082,10,
638521426981194867,468078,-9.560289,0.6693082,10,
638521426981254866,468083,-9.560289,0.6693082,10,
638521426981364869,468095,-9.560289,0.6693082,10,
638521426981474878,468106,-9.560289,0.6693082,10,
638521426981584872,468117,-9.560289,0.6693082,10,
638521426981694874,468128,-9.560289,0.6693082,10,
638521426981804873,468139,-9.560289,0.6693082,10,
638521426981924864,468151,-9.560289,0.6693082,10,
638521426982034873,468161,-9.560289,0.6693082,10,
638521426982144867,468172,-9.560289,0.6693082,10,
638521426982254870,468183,-9.560289,0.6693082,10,
638521426982364878,468195,-9.560289,0.6693082,10,
638521426982474858,468206,-9.560289,0.6693082,10,
638521426982584864,468217,-9.560289,0.6693082,10,
638521426982694890,468228,-9.560289,0.6693082,10,
638521426982804867,468239,-9.560289,0.6693082,10,
638521426982914868,468250,-9.560289,0.6693082,10,
638521426983034881,468261,-9.560289,0.6693082,10,
638521426983144870,468273,-9.560289,0.6693082,10,
638521426983254870,468283,-9.560289,0.6693082,10,
638521426983364875,468295,-9.560289,0.6693082,10,
638521426983474873,468306,-9.560289,0.6693082,10,
638521426983584868,468317,-9.560289,0.6693082,10,
638521426983694870,468328,-9.560289,0.6693082,10,
638521426983814871,468339,-9.560289,0.6693082,10,
638521426983914864,468350,-9.560289,0.6693082,10,
638521426984024879,468361,-9.560289,0.6693082,10,
638521426984134867,468372,-9.560289,0.6693082,10,
638521426984254873,468383,-9.560289,0.6693082,10,
638521426984364885,468395,-9.560289,0.6693082,10,
638521426984474871,468406,-9.560289,0.6693082,10,
638521426984584868,468417,-9.560289,0.6693082,10,
638521426984694884,468428,-9.560289,0.6693082,10,
638521426984814872,468439,-9.560289,0.6693082,10,
638521426984924874,468451,-9.560289,0.6693082,10,
638521426985044873,468462,-9.560289,0.6693082,10,
638521426985154865,468473,-9.560289,0.6693082,10,
638521426985264879,468485,-9.560289,0.6693082,10,
638521426985374862,468496,-9.560289,0.6693082,10,
638521426985494870,468507,-9.560289,0.6693082,10,
638521426985604875,468519,-9.560289,0.6693082,10,
638521426985714867,468530,-9.560289,0.6693082,10,
638521426985834873,468541,-9.560289,0.6693082,10,
638521426985944865,468553,-9.560289,0.6693082,10,
638521426986054875,468564,-9.560289,0.6693082,10,
638521426986174871,468575,-9.560289,0.6693082,10,
638521426986284864,468587,-9.560289,0.6693082,10,
638521426986394874,468598,-9.560289,0.6693082,10,
638521426986514875,468609,-9.560289,0.6693082,10,
638521426986624866,468621,-9.560289,0.6693082,10,
638521426986734881,468632,-9.560289,0.6693082,10,
638521426986844875,468643,-9.560289,0.6693082,10,
638521426986964873,468654,-9.560289,0.6693082,10,
638521426987064869,468665,-9.560289,0.6693082,10,
638521426987184884,468676,-9.560289,0.6693082,10,
638521426987294874,468687,-9.560289,0.6693082,10,
638521426987404878,468698,-9.560289,0.6693082,10,
638521426987514874,468710,-9.560289,0.6693082,10,
638521426987624866,468721,-9.560289,0.6693082,10,
638521426987734891,468732,-9.560289,0.6693082,10,
638521426987844873,468743,-9.560289,0.6693082,10,
638521426987954872,468754,-9.560289,0.6693082,10,
638521426988074883,468765,-9.560289,0.6693082,10,
638521426988184867,468776,-9.560289,0.6693082,10,
638521426988294875,468787,-9.560289,0.6693082,10,
638521426988404867,468798,-9.560289,0.6693082,10,
638521426988514866,468810,-9.560289,0.6693082,10,
638521426988624863,468821,-9.560289,0.6693082,10,
638521426988734871,468832,-9.560289,0.6693082,10,
638521426988844878,468843,-9.560289,0.6693082,10,
638521426988954872,468854,-9.560289,0.6693082,10,
638521426989064875,468865,-9.560289,0.6693082,10,
638521426989184862,468877,-9.560289,0.6693082,10,
638521426989294875,468887,-9.560289,0.6693082,10,
638521426989404863,468898,-9.560289,0.6693082,10,
638521426989514878,468909,-9.560289,0.6693082,10,
638521426989624872,468921,-9.560289,0.6693082,10,
638521426989734863,468932,-9.560289,0.6693082,10,
638521426989844875,468943,-9.560289,0.6693082,10,
638521426989954871,468954,-9.560289,0.6693082,10,
638521426990064874,468965,-9.560289,0.6693082,10,
638521426990174864,468976,-9.560289,0.6693082,10,
638521426990284872,468987,-9.560289,0.6693082,10,
