time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638520715610699154,232931,-34.63966,-7.120099,20,-34.54599,32.96899,20,19.64246,-20.08141,20,
638520715610781321,232939,-34.55949,-7.103621,19.95371,-34.46604,32.89268,19.95371,19.597,-20.03494,19.95371,
638520715610871328,232948,-34.51846,-7.095189,19.93003,-34.42513,32.85364,19.93003,19.57374,-20.01116,19.93003,
638520715610961330,232958,-34.4744,-7.086132,19.90459,-34.38119,32.81171,19.90459,19.54875,-19.98561,19.90459,
638520715611081332,232969,-34.42272,-7.075509,19.87475,-34.32964,32.76252,19.87475,19.51945,-19.95565,19.87475,
638520715611191331,232980,-34.3646,-7.063564,19.84119,-34.27169,32.70721,19.84119,19.48649,-19.92196,19.84119,
638520715611301320,232991,-34.30537,-7.051389,19.807,-34.21262,32.65083,19.807,19.45291,-19.88762,19.807,
638520715611411318,233002,-34.25015,-7.040038,19.77511,-34.15755,32.59827,19.77511,19.42159,-19.85561,19.77511,
638520715611522195,233013,-34.19105,-7.02789,19.74099,-34.09861,32.54203,19.74099,19.38808,-19.82135,19.74099,
638520715611629109,233024,-34.13365,-7.016091,19.70785,-34.04136,32.48739,19.70785,19.35553,-19.78807,19.70785,
638520715611749106,233036,-34.07647,-7.004338,19.67483,-33.98434,32.43297,19.67483,19.32311,-19.75492,19.67483,
638520715611859111,233047,-34.01736,-6.992188,19.64071,-33.92539,32.37671,19.64071,19.28959,-19.72066,19.64071,
638520715611969101,233057,-33.96021,-6.980441,19.60771,-33.86839,32.32232,19.60771,19.25718,-19.68752,19.60771,
638520715612079104,233069,-33.9038,-6.968846,19.57514,-33.81213,32.26862,19.57514,19.22519,-19.65482,19.57514,
638520715612189108,233080,-33.84556,-6.956876,19.54151,-33.75406,32.2132,19.54151,19.19217,-19.62106,19.54151,
638520715612299102,233091,-33.78785,-6.945014,19.50819,-33.6965,32.15827,19.50819,19.15945,-19.5876,19.50819,
638520715612409101,233102,-33.72954,-6.933027,19.47452,-33.63834,32.10277,19.47452,19.12638,-19.5538,19.47452,
638520715612529106,233114,-33.67157,-6.921111,19.44105,-33.58053,32.04759,19.44105,19.09351,-19.52019,19.44105,
638520715612634945,233124,-33.61224,-6.908917,19.4068,-33.52137,31.99113,19.4068,19.05987,-19.4858,19.4068,
638520715612744858,233135,-33.55627,-6.897412,19.37448,-33.46555,31.93786,19.37448,19.02813,-19.45335,19.37448,
638520715612859992,233147,-33.49833,-6.885502,19.34103,-33.40776,31.88271,19.34103,18.99527,-19.41976,19.34103,
638520715612969994,233158,-33.44118,-6.873756,19.30803,-33.35078,31.82832,19.30803,18.96287,-19.38663,19.30803,
638520715613079988,233169,-33.38358,-6.861915,19.27477,-33.29332,31.77349,19.27477,18.9302,-19.35324,19.27477,
638520715613189982,233180,-33.32608,-6.850096,19.24157,-33.23598,31.71876,19.24157,18.89759,-19.3199,19.24157,
638520715613299987,233191,-33.26786,-6.83813,19.20796,-33.17792,31.66335,19.20796,18.86458,-19.28615,19.20796,
638520715613409991,233202,-33.21111,-6.826464,19.17519,-33.12132,31.60933,19.17519,18.8324,-19.25325,19.17519,
638520715613517476,233213,-33.15223,-6.814361,19.1412,-33.0626,31.55329,19.1412,18.79901,-19.21912,19.1412,
638520715613627130,233224,-33.09521,-6.802642,19.10828,-33.00574,31.49903,19.10828,18.76668,-19.18606,19.10828,
638520715613747128,233235,-33.03761,-6.790803,19.07502,-32.9483,31.44421,19.07502,18.73402,-19.15267,19.07502,
638520715613855240,233246,-32.97929,-6.778814,19.04135,-32.89013,31.3887,19.04135,18.70095,-19.11886,19.04135,
638520715613965250,233258,-32.92184,-6.767006,19.00818,-32.83284,31.33402,19.00818,18.66837,-19.08556,19.00818,
638520715614075239,233269,-32.86345,-6.755004,18.97447,-32.7746,31.27844,18.97447,18.63526,-19.05171,18.97447,
638520715614185251,233280,-32.80584,-6.743163,18.94121,-32.71716,31.22361,18.94121,18.60259,-19.01831,18.94121,
638520715614305263,233292,-32.74803,-6.73128,18.90783,-32.6595,31.16859,18.90783,18.56981,-18.9848,18.90783,
638520715614415244,233303,-32.68873,-6.719091,18.87359,-32.60036,31.11215,18.87359,18.53618,-18.95042,18.87359,
638520715614531753,233314,-32.63029,-6.707078,18.83985,-32.54208,31.05652,18.83985,18.50304,-18.91654,18.83985,
638520715614638378,233325,-32.57244,-6.695188,18.80645,-32.48438,31.00147,18.80645,18.47024,-18.883,18.80645,
638520715614754630,233336,-32.51227,-6.68282,18.77171,-32.42438,30.9442,18.77171,18.43612,-18.84812,18.77171,
638520715614864448,233348,-32.45502,-6.671052,18.73865,-32.36728,30.88971,18.73865,18.40366,-18.81493,18.73865,
638520715614974450,233359,-32.39565,-6.658848,18.70437,-32.30807,30.8332,18.70437,18.36999,-18.78051,18.70437,
638520715615094447,233371,-32.33849,-6.6471,18.67137,-32.25107,30.7788,18.67137,18.33758,-18.74738,18.67137,
638520715615204442,233381,-32.27731,-6.634524,18.63605,-32.19005,30.72057,18.63605,18.30289,-18.71191,18.63605,
638520715615314440,233392,-32.22056,-6.62286,18.60328,-32.13346,30.66656,18.60328,18.27071,-18.67901,18.60328,
638520715615431821,233404,-32.1633,-6.611091,18.57022,-32.07635,30.61206,18.57022,18.23824,-18.64582,18.57022,
638520715615547272,233416,-32.10292,-6.59868,18.53536,-32.01614,30.5546,18.53536,18.204,-18.61082,18.53536,
638520715615657264,233427,-32.04313,-6.58639,18.50084,-31.95651,30.49769,18.50084,18.1701,-18.57615,18.50084,
