time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638521421299919903,91501,0,5,10,
638521421299979902,91507,0.0858966,4.985472,10,
638521421300029903,91512,0.1175397,4.98012,10,
638521421300139893,91523,0.1451925,4.975443,10,
638521421300249894,91534,0.1990121,4.966341,10,
638521421300369903,91546,0.2523122,4.957326,10,
638521421300469896,91556,0.3096996,4.94762,10,
638521421300589896,91568,0.362625,4.938669,10,
638521421300699910,91579,0.4183989,4.929235,10,
638521421300809904,91590,0.472216,4.920133,10,
638521421300919898,91601,0.5263349,4.91098,10,
638521421301029898,91612,0.5812742,4.901688,10,
638521421301139896,91623,0.6360956,4.892416,10,
638521421301249892,91634,0.6907302,4.883175,10,
638521421301359894,91645,0.7455684,4.8739,10,
638521421301469898,91656,0.8002444,4.864653,10,
638521421301589894,91668,0.8554212,4.85532,10,
638521421301689894,91679,0.9111049,4.845902,10,
638521421301809901,91690,0.9647861,4.836823,10,
638521421301919898,91701,1.019503,4.827569,10,
638521421302029898,91712,1.074225,4.818314,10,
638521421302139899,91723,1.129027,4.809045,10,
638521421302249898,91734,1.183807,4.79978,10,
638521421302359903,91745,1.238415,4.790544,10,
638521421302469908,91756,1.293085,4.781298,10,
638521421302579901,91767,1.348004,4.772009,10,
638521421302699902,91779,1.403378,4.762643,10,
638521421302809902,91790,1.459118,4.753216,10,
638521421302919897,91801,1.512472,4.744192,10,
638521421303029908,91812,1.567153,4.734943,10,
638521421303139900,91823,1.622454,4.72559,10,
638521421303249896,91834,1.676517,4.716446,10,
638521421303359903,91845,1.731616,4.707127,10,
638521421303479898,91857,1.786592,4.697829,10,
638521421303589901,91868,1.842236,4.688417,10,
638521421303699902,91879,1.899362,4.678755,10,
638521421303819909,91891,1.953777,4.669552,10,
638521421303929893,91902,2.010849,4.659899,10,
638521421304039908,91913,2.065406,4.650672,10,
638521421304149893,91924,2.121731,4.641146,10,
638521421304269893,91936,2.177356,4.631738,10,
638521421304379907,91947,2.232943,4.622336,10,
638521421304499907,91959,2.289779,4.612723,10,
638521421304609907,91970,2.345568,4.603288,10,
638521421304719899,91981,2.400903,4.593929,10,
638521421304839905,91993,2.457381,4.584377,10,
638521421304949896,92004,2.514555,4.574707,10,
638521421305059900,92015,2.568272,4.565622,10,
638521421305169893,92027,2.623993,4.556198,10,
638521421305289906,92038,2.680425,4.546653,10,
638521421305399904,92049,2.73616,4.537227,10,
638521421305509908,92060,2.792026,4.527778,10,
638521421305629895,92072,2.84789,4.518329,10,
638521421305739901,92083,2.903716,4.508887,10,
638521421305849902,92094,2.959015,4.499535,10,
638521421305959903,92105,3.013344,4.490346,10,
638521421306069904,92116,3.067789,4.481138,10,
638521421306189893,92128,3.122705,4.47185,10,
638521421306289902,92138,3.179892,4.462178,10,
638521421306409908,92150,3.231605,4.453431,10,
638521421306519903,92161,3.286989,4.444064,10,
638521421306629908,92172,3.342183,4.434729,10,
638521421306739901,92183,3.397103,4.42544,10,
638521421306849899,92194,3.45112,4.416304,10,
638521421306959901,92205,3.505717,4.40707,10,
638521421307069907,92216,3.560266,4.397844,10,
638521421307179895,92227,3.615025,4.388583,10,
638521421307289905,92238,3.671177,4.379086,10,
638521421307409900,92250,3.724832,4.370011,10,
638521421307519914,92261,3.781524,4.360423,10,
638521421307629910,92272,3.834113,4.351528,10,
638521421307739898,92283,3.889851,4.342101,10,
638521421307849898,92294,3.944045,4.332935,10,
638521421307959905,92305,3.998591,4.32371,10,
638521421308069901,92316,4.053747,4.314381,10,
638521421308179896,92327,4.108218,4.305168,10,
638521421308299902,92339,4.16267,4.295959,10,
638521421308409904,92350,4.218118,4.286581,10,
638521421308509892,92361,4.27274,4.277342,10,
638521421308629900,92372,4.326958,4.268172,10,
638521421308739895,92383,4.382122,4.258842,10,
638521421308849894,92394,4.436979,4.249564,10,
638521421308959903,92405,4.491593,4.240327,10,
638521421309069896,92416,4.545936,4.231136,10,
638521421309179913,92427,4.600714,4.221871,10,
638521421309289895,92438,4.656134,4.212498,10,
638521421309399902,92449,4.710392,4.203321,10,
638521421309519896,92461,4.765146,4.194061,10,
638521421309629905,92472,4.820981,4.184618,10,
638521421309739890,92483,4.875035,4.175475,10,
638521421309849891,92494,4.929767,4.166218,10,
638521421309959901,92505,4.985559,4.156782,10,
638521421310069914,92516,5.039251,4.147701,10,
638521421310179910,92527,5.094947,4.138281,10,
638521421310289902,92538,5.148835,4.129167,10,
638521421310399911,92549,5.202963,4.120012,10,
638521421310519905,92561,5.257905,4.110719,10,
638521421310629910,92572,5.314679,4.101117,10,
638521421310739905,92583,5.368013,4.092096,10,
638521421310850104,92594,5.422229,4.082927,10,
638521421310959902,92605,5.477143,4.073639,10,
638521421311069894,92616,5.531734,4.064406,10,
638521421311179911,92627,5.586412,4.055158,10,
638521421311289920,92638,5.642403,4.045688,10,
638521421311399901,92649,5.696769,4.036493,10,
638521421311509895,92660,5.751051,4.027312,10,
638521421311619912,92671,5.805467,4.018108,10,
638521421311739902,92683,5.860101,4.008868,10,
638521421311849890,92694,5.915229,3.999544,10,
638521421311959907,92705,5.969332,3.990393,10,
638521421312069903,92716,6.024455,3.98107,10,
638521421312179902,92727,6.079138,3.971822,10,
638521421312289903,92738,6.134339,3.962485,10,
638521421312429913,92752,6.188336,3.953352,10,
638521421312539890,92764,6.258113,3.941551,10,
638521421312649899,92775,6.313488,3.932185,10,
638521421312799898,92789,6.367639,3.923027,10,
638521421312869912,92796,6.441046,3.910611,10,
638521421312950111,92804,6.473165,3.905179,10,
638521421313069903,92816,6.516552,3.89784,10,
638521421313179900,92827,6.572117,3.888443,10,
638521421313289903,92838,6.626781,3.879197,10,
638521421313399891,92849,6.681406,3.869958,10,
638521421313509900,92860,6.735985,3.860727,10,
638521421313619907,92871,6.791327,3.851367,10,
638521421313729903,92883,6.84564,3.842181,10,
638521421313849902,92894,6.900494,3.832903,10,
638521421313959908,92905,6.955463,3.823606,10,
638521421314069902,92916,7.009772,3.814421,10,
638521421314179897,92927,7.064426,3.805177,10,
638521421314289924,92938,7.119981,3.795781,10,
638521421314399892,92949,7.17584,3.786333,10,
638521421314509900,92960,7.228827,3.777372,10,
638521421314629901,92972,7.28372,3.768087,10,
638521421314739905,92983,7.339576,3.75864,10,
638521421314849898,92994,7.394026,3.749431,10,
638521421314959900,93005,7.44767,3.740358,10,
638521421315069931,93016,7.50301,3.730998,10,
638521421315179903,93027,7.557618,3.721762,10,
638521421315289893,93038,7.612316,3.712511,10,
638521421315399898,93049,7.667053,3.703253,10,
638521421315509896,93060,7.721782,3.693996,10,
638521421315619912,93071,7.776768,3.684696,10,
