time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638525001652987365,1390135,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.68902,-7.304962,20,1.339474,14.83027,20,-23.50008,-32.12924,20,
638525001653057366,1390143,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.63272,-7.288304,19.95439,1.336419,14.79645,19.95439,-23.44649,-32.05597,19.95439,
638525001653157374,1390152,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.60508,-7.280128,19.932,1.33492,14.77985,19.932,-23.42019,-32.02001,19.932,
638525001653267355,1390163,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.57014,-7.269788,19.9037,1.333024,14.75886,19.9037,-23.38693,-31.97453,19.9037,
638525001653377363,1390174,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.52943,-7.257743,19.87072,1.330815,14.73441,19.87072,-23.34818,-31.92156,19.87072,
638525001653487362,1390185,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.48854,-7.245645,19.8376,1.328597,14.70984,19.8376,-23.30926,-31.86835,19.8376,
638525001653597355,1390197,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.4473,-7.233441,19.80419,1.326359,14.68507,19.80419,-23.27,-31.81467,19.80419,
638525001653707359,1390208,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.40553,-7.221083,19.77035,1.324093,14.65998,19.77035,-23.23024,-31.76032,19.77035,
638525001653817371,1390219,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.36513,-7.20913,19.73762,1.321901,14.63572,19.73762,-23.19179,-31.70775,19.73762,
638525001653927358,1390230,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.32332,-7.19676,19.70375,1.319633,14.6106,19.70375,-23.152,-31.65334,19.70375,
638525001654047354,1390241,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.28244,-7.184663,19.67064,1.317415,14.58605,19.67064,-23.11308,-31.60013,19.67064,
638525001654147371,1390252,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.24056,-7.172273,19.63671,1.315143,14.56089,19.63671,-23.07322,-31.54564,19.63671,
638525001654267357,1390263,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.20045,-7.160405,19.60422,1.312966,14.5368,19.60422,-23.03504,-31.49344,19.60422,
638525001654377352,1390274,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.15937,-7.14825,19.57094,1.310738,14.51212,19.57094,-22.99594,-31.43998,19.57094,
638525001654487355,1390285,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.11833,-7.136108,19.5377,1.308511,14.48747,19.5377,-22.95688,-31.38658,19.5377,
638525001654597356,1390296,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.07703,-7.123887,19.50424,1.306271,14.46266,19.50424,-22.91756,-31.33282,19.50424,
638525001654707363,1390308,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-24.03574,-7.11167,19.47079,1.30403,14.43786,19.47079,-22.87826,-31.27909,19.47079,
638525001654817375,1390319,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.99457,-7.099491,19.43744,1.301797,14.41314,19.43744,-22.83908,-31.22552,19.43744,
638525001654927369,1390330,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.95342,-7.087315,19.40411,1.299564,14.38842,19.40411,-22.79991,-31.17197,19.40411,
638525001655037367,1390341,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.91254,-7.075221,19.371,1.297347,14.36386,19.371,-22.761,-31.11877,19.371,
638525001655157352,1390352,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.87089,-7.062895,19.33725,1.295086,14.33884,19.33725,-22.72135,-31.06456,19.33725,
638525001655267358,1390363,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.82936,-7.05061,19.30362,1.292834,14.3139,19.30362,-22.68183,-31.01053,19.30362,
638525001655377358,1390374,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.78914,-7.038708,19.27103,1.290651,14.28974,19.27103,-22.64355,-30.95818,19.27103,
638525001655487361,1390386,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.74786,-7.026495,19.23759,1.288412,14.26495,19.23759,-22.60425,-30.90446,19.23759,
638525001655597348,1390396,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.70547,-7.01395,19.20325,1.286111,14.23948,19.20325,-22.5639,-30.84929,19.20325,
638525001655707358,1390408,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.66585,-7.00223,19.17116,1.283962,14.21569,19.17116,-22.5262,-30.79774,19.17116,
638525001655817363,1390419,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.62429,-6.989932,19.13749,1.281707,14.19072,19.13749,-22.48663,-30.74365,19.13749,
638525001655927377,1390430,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.58334,-6.977815,19.10431,1.279486,14.16612,19.10431,-22.44765,-30.69036,19.10431,
638525001656047358,1390441,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.54235,-6.965687,19.07111,1.277262,14.1415,19.07111,-22.40863,-30.63701,19.07111,
638525001656147357,1390452,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.50036,-6.953264,19.0371,1.274984,14.11628,19.0371,-22.36867,-30.58237,19.0371,
638525001656267361,1390463,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.46026,-6.941401,19.00462,1.272809,14.0922,19.00462,-22.33051,-30.5302,19.00462,
638525001656377353,1390474,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.41866,-6.929091,18.97091,1.270551,14.0672,18.97091,-22.2909,-30.47606,18.97091,
638525001656487366,1390485,10.66373,-11.90791,17.46849,-18.99208,-14.76522,13.36942,-4.489142,22.47081,16.01969,-23.37815,-6.917105,18.9381,1.268353,14.04287,18.9381,-22.25235,-30.42334,18.9381,
