time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638549101377131782,1030515,-3.148761,-8.681644,10,
638549101377201967,1030522,-3.148761,-8.681644,10,
638549101377291974,1030530,-3.148761,-8.681644,10,
638549101377401977,1030542,-3.148761,-8.681644,10,
638549101377501978,1030552,-3.148761,-8.681644,10,
638549101377621981,1030564,-3.148761,-8.681644,10,
638549101377731986,1030575,-3.148761,-8.681644,10,
638549101377841974,1030586,-3.148761,-8.681644,10,
638549101377951967,1030597,-3.148761,-8.681644,10,
638549101378077080,1030610,-3.148761,-8.681644,10,
638549101378177071,1030620,-3.148761,-8.681644,10,
638549101378287076,1030631,-3.148761,-8.681644,10,
638549101378397079,1030641,-3.148761,-8.681644,10,
638549101378507081,1030652,-3.148761,-8.681644,10,
638549101378617076,1030663,-3.148761,-8.681644,10,
638549101378737082,1030675,-3.148761,-8.681644,10,
638549101378837068,1030685,-3.148761,-8.681644,10,
638549101378947069,1030697,-3.148761,-8.681644,10,
638549101379062163,1030708,-3.148761,-8.681644,10,
638549101379167252,1030719,-3.148761,-8.681644,10,
638549101379277244,1030730,-3.148761,-8.681644,10,
638549101379392320,1030741,-3.148761,-8.681644,10,
638549101379502322,1030752,-3.148761,-8.681644,10,
638549101379612325,1030763,-3.148761,-8.681644,10,
638549101379722327,1030774,-3.148761,-8.681644,10,
638549101379832327,1030785,-3.148761,-8.681644,10,
638549101379952320,1030797,-3.148761,-8.681644,10,
638549101380062320,1030808,-3.148761,-8.681644,10,
638549101380172525,1030819,-3.148761,-8.681644,10,
638549101380282517,1030830,-3.148761,-8.681644,10,
638549101380387603,1030841,-3.148761,-8.681644,10,
638549101380497612,1030852,-3.148761,-8.681644,10,
638549101380617611,1030863,-3.148761,-8.681644,10,
638549101380727603,1030875,-3.148761,-8.681644,10,
638549101380837602,1030886,-3.148761,-8.681644,10,
638549101380947610,1030897,-3.148761,-8.681644,10,
638549101381062690,1030908,-3.148761,-8.681644,10,
638549101381172679,1030919,-3.148761,-8.681644,10,
638549101381292679,1030931,-3.148761,-8.681644,10,
638549101381407762,1030942,-3.148761,-8.681644,10,
638549101381517768,1030953,-3.148761,-8.681644,10,
638549101381627768,1030965,-3.148761,-8.681644,10,
638549101381737766,1030976,-3.148761,-8.681644,10,
638549101381857756,1030987,-3.148761,-8.681644,10,
638549101381967757,1030998,-3.148761,-8.681644,10,
638549101382092864,1031011,-3.148761,-8.681644,10,
638549101382197975,1031021,-3.148761,-8.681644,10,
638549101382307976,1031032,-3.148761,-8.681644,10,
638549101382417972,1031043,-3.148761,-8.681644,10,
638549101382527976,1031054,-3.148761,-8.681644,10,
638549101382647977,1031066,-3.148761,-8.681644,10,
638549101382757977,1031077,-3.148761,-8.681644,10,
638549101382857978,1031088,-3.148761,-8.681644,10,
638549101382967977,1031099,-3.148761,-8.681644,10,
638549101383083062,1031110,-3.148761,-8.681644,10,
638549101383198155,1031121,-3.148761,-8.681644,10,
638549101383308147,1031132,-3.148761,-8.681644,10,
638549101383418153,1031144,-3.148761,-8.681644,10,
638549101383528152,1031154,-3.148761,-8.681644,10,
638549101383638156,1031166,-3.148761,-8.681644,10,
638549101383748166,1031177,-3.148761,-8.681644,10,
638549101383858148,1031188,-3.148761,-8.681644,10,
638549101383968149,1031199,-3.148761,-8.681644,10,
638549101384083238,1031211,-3.148761,-8.681644,10,
638549101384198340,1031221,-3.148761,-8.681644,10,
638549101384308326,1031232,-3.148761,-8.681644,10,
638549101384418333,1031243,-3.148761,-8.681644,10,
638549101384523418,1031254,-3.148761,-8.681644,10,
638549101384643416,1031266,-3.148761,-8.681644,10,
638549101384753421,1031277,-3.148761,-8.681644,10,
638549101384863431,1031288,-3.148761,-8.681644,10,
638549101384973431,1031299,-3.148761,-8.681644,10,
638549101385083435,1031310,-3.148761,-8.681644,10,
638549101385198545,1031321,-3.148761,-8.681644,10,
638549101385308536,1031332,-3.148761,-8.681644,10,
638549101385418546,1031344,-3.148761,-8.681644,10,
638549101385523628,1031354,-3.148761,-8.681644,10,
638549101385643620,1031366,-3.148761,-8.681644,10,
638549101385753627,1031377,-3.148761,-8.681644,10,
