time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638549104264178486,1319220,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.96554,7.166135,20,34.39215,21.00824,20,15.06383,16.71375,20,
638549104264248483,1319227,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.93812,7.14822,19.95,34.30618,20.95572,19.95,15.02617,16.67197,19.95,
638549104264308481,1319233,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.92629,7.140485,19.92842,34.26906,20.93304,19.92842,15.00991,16.65393,19.92842,
638549104264438473,1319246,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.91523,7.133258,19.90825,34.23438,20.91185,19.90825,14.99472,16.63707,19.90825,
638549104264538473,1319255,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.8948,7.119905,19.87098,34.1703,20.87271,19.87098,14.96665,16.60593,19.87098,
638549104264638472,1319266,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.87839,7.10918,19.84105,34.11883,20.84127,19.84105,14.94411,16.58092,19.84105,
638549104264753571,1319277,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.86131,7.098022,19.80991,34.06528,20.80856,19.80991,14.92065,16.55489,19.80991,
638549104264863582,1319288,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.84248,7.085716,19.77556,34.00622,20.77248,19.77556,14.89478,16.52619,19.77556,
638549104264973579,1319299,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.8249,7.074224,19.74349,33.95107,20.73879,19.74349,14.87062,16.49939,19.74349,
638549104265093571,1319311,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.80634,7.062094,19.70964,33.89285,20.70323,19.70964,14.84513,16.4711,19.70964,
638549104265198649,1319321,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.78742,7.049733,19.67514,33.83353,20.66699,19.67514,14.81914,16.44227,19.67514,
638549104265308648,1319332,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.77003,7.038365,19.64341,33.77897,20.63367,19.64341,14.79524,16.41575,19.64341,
638549104265418666,1319344,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.75163,7.026341,19.60985,33.72127,20.59842,19.60985,14.76997,16.38771,19.60985,
638549104265528659,1319355,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.73278,7.014025,19.57548,33.66216,20.56231,19.57548,14.74408,16.35898,19.57548,
638549104265648668,1319366,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.71525,7.002571,19.54351,33.60719,20.52873,19.54351,14.72,16.33227,19.54351,
638549104265753757,1319377,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.69613,6.990076,19.50864,33.54723,20.4921,19.50864,14.69373,16.30313,19.50864,
638549104265863753,1319388,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.67818,6.978343,19.47589,33.49092,20.45771,19.47589,14.66907,16.27576,19.47589,
638549104265973749,1319399,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.66034,6.966681,19.44335,33.43495,20.42352,19.44335,14.64456,16.24856,19.44335,
638549104266093764,1319411,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.64211,6.954772,19.41011,33.3778,20.38861,19.41011,14.61952,16.22079,19.41011,
638549104266193757,1319421,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.62294,6.942239,19.37513,33.31765,20.35187,19.37513,14.59318,16.19156,19.37513,
638549104266303776,1319433,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.60559,6.930902,19.34349,33.26324,20.31863,19.34349,14.56935,16.16512,19.34349,
