time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638549094533341715,346136,0,5,10,
638549094533401718,346142,0.01247623,4.910912,10,
638549094533456820,346147,0.01674225,4.880449,10,
638549094533576813,346160,0.02047598,4.853788,10,
638549094533686814,346170,0.02908263,4.792331,10,
638549094533786818,346181,0.03630682,4.740745,10,
638549094533906812,346192,0.04358559,4.68877,10,
638549094534006812,346203,0.05139894,4.632977,10,
638549094534116812,346214,0.05885759,4.579718,10,
638549094534236811,346225,0.06654113,4.524852,10,
638549094534346831,346236,0.07449643,4.468046,10,
638549094534451955,346247,0.08197866,4.414618,10,
638549094534571889,346259,0.08976392,4.359026,10,
638549094534671903,346269,0.09772588,4.302172,10,
638549094534781887,346280,0.1049997,4.250232,10,
638549094534901905,346292,0.1127476,4.194907,10,
638549094535007011,346303,0.1207534,4.137741,10,
638549094535117010,346314,0.1282019,4.084553,10,
638549094535236998,346325,0.1358809,4.02972,10,
638549094535337009,346336,0.1438255,3.972991,10,
638549094535452498,346347,0.1513142,3.919516,10,
638549094535562316,346358,0.1590232,3.864469,10,
638549094535672317,346369,0.1668713,3.808428,10,
638549094535782317,346380,0.1743661,3.75491,10,
638549094535902305,346392,0.1820894,3.699761,10,
638549094536007393,346402,0.1899856,3.643377,10,
638549094536117382,346414,0.1974184,3.590302,10,
638549094536237389,346425,0.2051445,3.535131,10,
638549094536337386,346436,0.2131374,3.478057,10,
638549094536452530,346447,0.2206147,3.424664,10,
638549094536562639,346458,0.228344,3.369472,10,
638549094536672655,346469,0.2362068,3.313326,10,
638549094536782635,346480,0.2437049,3.259784,10,
638549094536902636,346492,0.2514007,3.204831,10,
638549094537017723,346503,0.2594077,3.147656,10,
638549094537127718,346514,0.2671613,3.09229,10,
638549094537247730,346526,0.2749084,3.03697,10,
638549094537347724,346537,0.2832351,2.977512,10,
638549094537467731,346548,0.2906208,2.924773,10,
638549094537577721,346560,0.2984761,2.868681,10,
638549094537697725,346571,0.3064,2.812099,10,
638549094537807730,346582,0.3143359,2.755431,10,
638549094537917720,346594,0.3220626,2.700257,10,
638549094538037733,346605,0.3300479,2.643237,10,
638549094538147725,346616,0.3378977,2.587184,10,
638549094538257733,346628,0.3456455,2.53186,10,
638549094538367718,346639,0.3535918,2.475118,10,
638549094538487728,346650,0.3614352,2.419111,10,
638549094538597728,346662,0.3691987,2.363674,10,
638549094538717733,346673,0.3770727,2.307449,10,
638549094538827734,346684,0.38506,2.250414,10,
638549094538937718,346696,0.3928049,2.19511,10,
638549094539047722,346707,0.400666,2.138977,10,
638549094539157721,346718,0.4085217,2.082882,10,
638549094539277725,346729,0.4161016,2.028756,10,
638549094539397725,346741,0.4238909,1.973135,10,
638549094539497729,346751,0.4320734,1.914707,10,
638549094539607727,346762,0.4392111,1.863739,10,
638549094539717717,346773,0.4469577,1.808422,10,
638549094539827729,346785,0.4546778,1.753296,10,
638549094539937723,346796,0.462358,1.698454,10,
638549094540057730,346808,0.470114,1.643071,10,
638549094540167732,346818,0.4782705,1.584828,10,
638549094540267718,346829,0.4855925,1.532544,10,
638549094540387720,346840,0.4931593,1.478512,10,
638549094540497733,346852,0.5009358,1.422983,10,
638549094540607720,346862,0.5087964,1.366853,10,
638549094540717733,346874,0.516242,1.313687,10,
638549094540827727,346884,0.5242257,1.256677,10,
638549094540947734,346896,0.53158,1.204163,10,
638549094541047722,346907,0.5395795,1.147041,10,
638549094541157728,346918,0.5470524,1.093679,10,
638549094541277732,346929,0.5547576,1.038659,10,
638549094541387722,346940,0.5626609,0.9822235,10,
638549094541497732,346951,0.5703109,0.9275975,10,
638549094541607725,346962,0.578008,0.8726349,10,
638549094541717733,346973,0.585544,0.8188224,10,
638549094541827725,346984,0.5933394,0.7631578,10,
638549094541937725,346996,0.6009123,0.7090826,10,
638549094542057725,347007,0.6089258,0.6518612,10,
638549094542157728,347018,0.6166989,0.5963564,10,
638549094542267719,347029,0.6240948,0.5435448,10,
