time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638549103397877889,1232590,-15.70752,-32.14071,20,-29.31695,-10.31855,20,1.862034,31.89567,20,
638549103397947890,1232597,-15.67145,-32.06691,19.95408,-29.24964,-10.29486,19.95408,1.857759,31.82244,19.95408,
638549103398057903,1232607,-15.65434,-32.03191,19.93229,-29.21771,-10.28362,19.93229,1.85573,31.78769,19.93229,
638549103398172992,1232619,-15.63084,-31.98381,19.90237,-29.17384,-10.26818,19.90237,1.852944,31.73997,19.90237,
638549103398282992,1232630,-15.60331,-31.92747,19.86731,-29.12245,-10.2501,19.86731,1.84968,31.68406,19.86731,
638549103398372987,1232639,-15.57733,-31.87432,19.83423,-29.07397,-10.23303,19.83423,1.846601,31.63131,19.83423,
638549103398488058,1232651,-15.55405,-31.82669,19.8046,-29.03052,-10.21774,19.8046,1.843842,31.58404,19.8046,
638549103398608064,1232662,-15.52752,-31.7724,19.77081,-28.981,-10.20031,19.77081,1.840696,31.53016,19.77081,
638549103398718068,1232673,-15.50095,-31.71803,19.73698,-28.93141,-10.18286,19.73698,1.837547,31.47621,19.73698,
638549103398818066,1232684,-15.47492,-31.66477,19.70384,-28.88283,-10.16576,19.70384,1.834461,31.42336,19.70384,
638549103398938069,1232695,-15.44913,-31.61199,19.671,-28.83469,-10.14881,19.671,1.831403,31.37098,19.671,
638549103399048060,1232706,-15.42264,-31.55779,19.63727,-28.78524,-10.13141,19.63727,1.828263,31.31719,19.63727,
638549103399158078,1232717,-15.3968,-31.50491,19.60437,-28.73702,-10.11444,19.60437,1.8252,31.26472,19.60437,
638549103399278070,1232729,-15.37053,-31.45117,19.57093,-28.68799,-10.09718,19.57093,1.822086,31.21138,19.57093,
638549103399378282,1232740,-15.34304,-31.39492,19.53593,-28.63669,-10.07912,19.53593,1.818828,31.15557,19.53593,
638549103399493388,1232751,-15.31844,-31.34457,19.5046,-28.59076,-10.06296,19.5046,1.815911,31.1056,19.5046,
638549103399603392,1232762,-15.29212,-31.29074,19.4711,-28.54165,-10.04568,19.4711,1.812792,31.05217,19.4711,
638549103399713390,1232773,-15.26549,-31.23624,19.43719,-28.49195,-10.02818,19.43719,1.809635,30.99809,19.43719,
638549103399823397,1232784,-15.23978,-31.18364,19.40445,-28.44396,-10.01129,19.40445,1.806587,30.94589,19.40445,
638549103399933398,1232795,-15.21352,-31.12989,19.37101,-28.39494,-9.994038,19.37101,1.803473,30.89256,19.37101,
638549103400043397,1232806,-15.18702,-31.07566,19.33727,-28.34548,-9.976629,19.33727,1.800332,30.83875,19.33727,
638549103400153391,1232817,-15.16111,-31.02265,19.30428,-28.29712,-9.959609,19.30428,1.79726,30.78613,19.30428,
638549103400263385,1232829,-15.13521,-30.96965,19.2713,-28.24878,-9.942595,19.2713,1.79419,30.73354,19.2713,
638549103400373398,1232840,-15.10864,-30.91529,19.23747,-28.1992,-9.925144,19.23747,1.791041,30.6796,19.23747,
638549103400493605,1232851,-15.08272,-30.86225,19.20447,-28.15082,-9.908115,19.20447,1.787968,30.62696,19.20447,
638549103400598688,1232862,-15.05649,-30.80859,19.17108,-28.10187,-9.890887,19.17108,1.784859,30.5737,19.17108,
638549103400708677,1232873,-15.03018,-30.75476,19.13758,-28.05276,-9.873604,19.13758,1.78174,30.52028,19.13758,
638549103400818681,1232884,-15.00395,-30.70107,19.10417,-28.00379,-9.856368,19.10417,1.77863,30.467,19.10417,
638549103400938688,1232895,-14.97795,-30.64787,19.07107,-27.95527,-9.839289,19.07107,1.775548,30.41421,19.07107,
638549103401048673,1232906,-14.95162,-30.594,19.03755,-27.90613,-9.821996,19.03755,1.772427,30.36075,19.03755,
638549103401158678,1232917,-14.92584,-30.54126,19.00473,-27.85802,-9.805061,19.00473,1.769372,30.3084,19.00473,
638549103401268683,1232929,-14.89923,-30.4868,18.97084,-27.80835,-9.787579,18.97084,1.766217,30.25436,18.97084,
638549103401378675,1232939,-14.87311,-30.43335,18.93758,-27.75959,-9.770418,18.93758,1.76312,30.20132,18.93758,
638549103401488675,1232951,-14.84729,-30.38052,18.9047,-27.7114,-9.753457,18.9047,1.760059,30.14889,18.9047,
638549103401598680,1232962,-14.82087,-30.32647,18.87107,-27.6621,-9.736105,18.87107,1.756928,30.09525,18.87107,
638549103401718686,1232973,-14.79408,-30.27163,18.83695,-27.61209,-9.718501,18.83695,1.753751,30.04084,18.83695,
638549103401828685,1232984,-14.76787,-30.21802,18.80359,-27.56318,-9.701289,18.80359,1.750645,29.98763,18.80359,
638549103401938682,1232996,-14.74125,-30.16354,18.76969,-27.51349,-9.6838,18.76969,1.747489,29.93357,18.76969,
638549103402058681,1233007,-14.71426,-30.10832,18.73532,-27.46312,-9.666071,18.73532,1.74429,29.87877,18.73532,
638549103402168686,1233018,-14.68798,-30.05454,18.70186,-27.41407,-9.648807,18.70186,1.741175,29.8254,18.70186,
638549103402278673,1233030,-14.66165,-30.00066,18.66833,-27.36492,-9.631506,18.66833,1.738053,29.77192,18.66833,
638549103402388675,1233041,-14.63508,-29.94629,18.6345,-27.31532,-9.614051,18.6345,1.734903,29.71797,18.6345,
638549103402498680,1233052,-14.60868,-29.89227,18.60089,-27.26606,-9.59671,18.60089,1.731773,29.66437,18.60089,
638549103402618675,1233063,-14.58216,-29.83801,18.56712,-27.21657,-9.579291,18.56712,1.72863,29.61052,18.56712,
638549103402728675,1233075,-14.55547,-29.78341,18.53314,-27.16676,-9.56176,18.53314,1.725467,29.55633,18.53314,
638549103402838681,1233086,-14.52804,-29.72728,18.49821,-27.11555,-9.543739,18.49821,1.722215,29.50063,18.49821,
638549103402948680,1233097,-14.50301,-29.67604,18.46633,-27.06882,-9.527292,18.46633,1.719247,29.44979,18.46633,
638549103403068678,1233108,-14.47647,-29.62176,18.43255,-27.01931,-9.509864,18.43255,1.716102,29.39591,18.43255,
638549103403168684,1233119,-14.44973,-29.56704,18.3985,-26.9694,-9.492297,18.3985,1.712932,29.34161,18.3985,
638549103403288695,1233130,-14.42447,-29.51535,18.36634,-26.92225,-9.475702,18.36634,1.709937,29.29032,18.36634,
638549103403408674,1233142,-14.39803,-29.46124,18.33267,-26.8729,-9.458333,18.33267,1.706803,29.23663,18.33267,
638549103403503774,1233152,-14.37039,-29.40469,18.29748,-26.82131,-9.440176,18.29748,1.703526,29.1805,18.29748,
638549103403613778,1233164,-14.3459,-29.35457,18.26629,-26.77559,-9.424086,18.26629,1.700622,29.13076,18.26629,
638549103403728849,1233175,-14.3194,-29.30036,18.23256,-26.72615,-9.406683,18.23256,1.697482,29.07697,18.23256,
638549103403838869,1233186,-14.29344,-29.24724,18.1995,-26.67769,-9.389628,18.1995,1.694404,29.02425,18.1995,
638549103403948848,1233197,-14.26719,-29.19351,18.16607,-26.62869,-9.37238,18.16607,1.691292,28.97094,18.16607,
638549103404068854,1233208,-14.24115,-29.14024,18.13293,-26.5801,-9.355278,18.13293,1.688206,28.91807,18.13293,
638549103404168858,1233219,-14.21408,-29.08485,18.09846,-26.52958,-9.337496,18.09846,1.684997,28.86311,18.09846,
638549103404278849,1233230,-14.18903,-29.03359,18.06656,-26.48282,-9.321038,18.06656,1.682027,28.81223,18.06656,
638549103404398849,1233241,-14.16257,-28.97944,18.03286,-26.43342,-9.303652,18.03286,1.67889,28.75849,18.03286,
638549103404509092,1233252,-14.13636,-28.92581,17.99949,-26.38451,-9.286436,17.99949,1.675783,28.70528,17.99949,
638549103404619097,1233264,-14.11022,-28.87232,17.96621,-26.33572,-9.269264,17.96621,1.672684,28.6522,17.96621,
638549103404729083,1233275,-14.0839,-28.81848,17.9327,-26.2866,-9.251977,17.9327,1.669565,28.59876,17.9327,
638549103404839092,1233285,-14.05774,-28.76494,17.89939,-26.23777,-9.234788,17.89939,1.666463,28.54563,17.89939,
638549103404949084,1233297,-14.032,-28.71228,17.86662,-26.18974,-9.217883,17.86662,1.663412,28.49337,17.86662,
638549103405069083,1233308,-14.00486,-28.65673,17.83205,-26.13907,-9.200049,17.83205,1.660194,28.43825,17.83205,
638549103405169093,1233319,-13.97824,-28.60228,17.79817,-26.0894,-9.182568,17.79817,1.65704,28.38421,17.79817,
638549103405279076,1233330,-13.95322,-28.55107,17.7663,-26.04268,-9.166125,17.7663,1.654073,28.33339,17.7663,
638549103405399089,1233341,-13.92696,-28.49734,17.73287,-25.99368,-9.148879,17.73287,1.65096,28.28008,17.73287,
638549103405499086,1233352,-13.90108,-28.44439,17.69992,-25.94538,-9.131878,17.69992,1.647892,28.22752,17.69992,
638549103405619078,1233364,-13.87519,-28.39141,17.66695,-25.89705,-9.114868,17.66695,1.644823,28.17494,17.66695,
638549103405729087,1233375,-13.84828,-28.33636,17.63269,-25.84684,-9.097195,17.63269,1.641634,28.12031,17.63269,
638549103405839078,1233386,-13.82263,-28.28386,17.60002,-25.79895,-9.080339,17.60002,1.638592,28.06821,17.60002,
638549103405949075,1233397,-13.79638,-28.23014,17.5666,-25.74995,-9.063096,17.5666,1.63548,28.01491,17.5666,
638549103406069093,1233408,-13.77005,-28.17628,17.53308,-25.70082,-9.045802,17.53308,1.63236,27.96145,17.53308,
638549103406179082,1233419,-13.74371,-28.12238,17.49954,-25.65166,-9.0285,17.49954,1.629237,27.90797,17.49954,
638549103406279085,1233430,-13.7172,-28.06812,17.46578,-25.60217,-9.01108,17.46578,1.626094,27.85413,17.46578,
638549103406399088,1233441,-13.69154,-28.01563,17.43312,-25.55429,-8.994227,17.43312,1.623053,27.80203,17.43312,
638549103406509078,1233452,-13.66551,-27.96236,17.39997,-25.5057,-8.977123,17.39997,1.619966,27.74916,17.39997,
638549103406619076,1233463,-13.63929,-27.90871,17.36658,-25.45676,-8.9599,17.36658,1.616858,27.69593,17.36658,
638549103406724150,1233475,-13.61307,-27.85507,17.3332,-25.40784,-8.942679,17.3332,1.613751,27.6427,17.3332,
638549103406834157,1233485,-13.587,-27.80172,17.30001,-25.35917,-8.925553,17.30001,1.61066,27.58976,17.30001,
638549103406954158,1233497,-13.56074,-27.74798,17.26657,-25.31015,-8.908299,17.26657,1.607547,27.53642,17.26657,
638549103407064163,1233508,-13.5346,-27.6945,17.23329,-25.26137,-8.891129,17.23329,1.604448,27.48335,17.23329,
638549103407174163,1233519,-13.50845,-27.64099,17.19999,-25.21256,-8.873949,17.19999,1.601348,27.43024,17.19999,
638549103407284160,1233530,-13.48237,-27.58762,17.16678,-25.16389,-8.856818,17.16678,1.598257,27.37729,17.16678,
638549103407399230,1233541,-13.45589,-27.53345,17.13307,-25.11447,-8.839426,17.13307,1.595118,27.32353,17.13307,
638549103407509248,1233552,-13.42913,-27.47868,17.09899,-25.06451,-8.821843,17.09899,1.591945,27.26918,17.09899,
638549103407619234,1233564,-13.4037,-27.42665,17.06661,-25.01705,-8.805138,17.06661,1.588931,27.21754,17.06661,
638549103407734310,1233575,-13.37692,-27.37185,17.03252,-24.96707,-8.787546,17.03252,1.585756,27.16316,17.03252,
638549103407834307,1233585,-13.35078,-27.31836,16.99923,-24.91828,-8.770373,16.99923,1.582657,27.11008,16.99923,
638549103407944308,1233597,-13.32528,-27.26618,16.96676,-24.87068,-8.75362,16.96676,1.579634,27.0583,16.96676,
638549103408069441,1233609,-13.29902,-27.21245,16.93333,-24.82168,-8.736373,16.93333,1.576522,27.00498,16.93333,
