time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524921341246568,157976,8.620957,2.176452,10,
638524921341306558,157982,8.620957,2.176452,10,
638524921341386563,157991,8.620957,2.176452,10,
638524921341502390,158002,8.620957,2.176452,10,
638524921341612394,158013,8.620957,2.176452,10,
638524921341722384,158024,8.620957,2.176452,10,
638524921341842393,158036,8.620957,2.176452,10,
638524921341952392,158047,8.620957,2.176452,10,
638524921342062392,158058,8.620957,2.176452,10,
638524921342172389,158069,8.620957,2.176452,10,
638524921342282396,158080,8.620957,2.176452,10,
638524921342392390,158091,8.620957,2.176452,10,
638524921342502388,158102,8.620957,2.176452,10,
638524921342612393,158113,8.620957,2.176452,10,
638524921342722386,158124,8.620957,2.176452,10,
638524921342842397,158136,8.620957,2.176452,10,
638524921342952411,158147,8.620957,2.176452,10,
638524921343062388,158158,8.620957,2.176452,10,
638524921343172396,158169,8.620957,2.176452,10,
638524921343282385,158180,8.620957,2.176452,10,
638524921343389952,158191,8.620957,2.176452,10,
638524921343504400,158202,8.620957,2.176452,10,
638524921343614414,158214,8.620957,2.176452,10,
638524921343724393,158224,8.620957,2.176452,10,
638524921343834397,158235,8.620957,2.176452,10,
638524921343944398,158246,8.620957,2.176452,10,
638524921344054393,158258,8.620957,2.176452,10,
638524921344164404,158269,8.620957,2.176452,10,
638524921344284391,158280,8.620957,2.176452,10,
638524921344394395,158291,8.620957,2.176452,10,
638524921344504417,158302,8.620957,2.176452,10,
638524921344614396,158313,8.620957,2.176452,10,
638524921344724398,158324,8.620957,2.176452,10,
638524921344834399,158335,8.620957,2.176452,10,
638524921344954403,158347,8.620957,2.176452,10,
638524921345064395,158358,8.620957,2.176452,10,
638524921345174396,158369,8.620957,2.176452,10,
638524921345284400,158381,8.620957,2.176452,10,
638524921345404396,158392,8.620957,2.176452,10,
638524921345513495,158403,8.620957,2.176452,10,
638524921345623493,158414,8.620957,2.176452,10,
638524921345743497,158426,8.620957,2.176452,10,
638524921345858855,158437,8.620957,2.176452,10,
638524921345968868,158448,8.620957,2.176452,10,
638524921346078862,158460,8.620957,2.176452,10,
638524921346188870,158471,8.620957,2.176452,10,
638524921346308866,158482,8.620957,2.176452,10,
638524921346419265,158493,8.620957,2.176452,10,
638524921346529143,158504,8.620957,2.176452,10,
638524921346639130,158516,8.620957,2.176452,10,
638524921346749136,158527,8.620957,2.176452,10,
638524921346859139,158538,8.620957,2.176452,10,
638524921346969159,158549,8.620957,2.176452,10,
638524921347089140,158560,8.620957,2.176452,10,
638524921347199248,158571,8.620957,2.176452,10,
638524921347309237,158582,8.620957,2.176452,10,
638524921347419914,158593,8.620957,2.176452,10,
638524921347529894,158604,8.620957,2.176452,10,
638524921347639883,158616,8.620957,2.176452,10,
638524921347749892,158627,8.620957,2.176452,10,
638524921347859884,158638,8.620957,2.176452,10,
638524921347969879,158649,8.620957,2.176452,10,
638524921348079896,158660,8.620957,2.176452,10,
638524921348189885,158671,8.620957,2.176452,10,
638524921348309894,158683,8.620957,2.176452,10,
638524921348418010,158693,8.620957,2.176452,10,
638524921348527957,158704,8.620957,2.176452,10,
638524921348637961,158716,8.620957,2.176452,10,
