time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638524921947334393,218585,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.818288,-34.47305,20,-10.45541,12.94098,20,-8.17284,27.76406,20,
638524921947394393,218591,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.79962,-34.37867,19.94524,-10.42679,12.90555,19.94524,-8.150463,27.68805,19.94524,
638524921947454394,218598,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.792455,-34.34245,19.92422,-10.4158,12.89195,19.92422,-8.141875,27.65887,19.92422,
638524921947544389,218606,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.786276,-34.31121,19.9061,-10.40633,12.88023,19.9061,-8.13447,27.63372,19.9061,
638524921947654387,218617,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.777797,-34.26834,19.88123,-10.39332,12.86414,19.88123,-8.124307,27.59919,19.88123,
638524921947764394,218628,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.766678,-34.21212,19.84862,-10.37627,12.84303,19.84862,-8.110979,27.55392,19.84862,
638524921947874378,218639,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.755182,-34.154,19.8149,-10.35865,12.82121,19.8149,-8.097199,27.5071,19.8149,
638524921947984395,218650,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.743834,-34.09663,19.78161,-10.34124,12.79968,19.78161,-8.083597,27.4609,19.78161,
638524921948094396,218661,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.732455,-34.0391,19.74823,-10.3238,12.77808,19.74823,-8.069958,27.41456,19.74823,
638524921948204398,218672,-23.9878,-3.82342,19.46727,-20.82424,-16.05789,14.71538,-15.6368,-6.05617,12.87034,6.721169,-33.98204,19.71513,-10.30649,12.75666,19.71513,-8.05643,27.3686,19.71513,
