time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524920864705094,110322,0,5,10,
638524920864775088,110329,0.0126152,4.909919,10,
638524920864825093,110334,0.01739825,4.875765,10,
638524920864925087,110344,0.02142961,4.846978,10,
638524920865035099,110355,0.02788276,4.800899,10,
638524920865145091,110366,0.03545333,4.74684,10,
638524920865255085,110377,0.04307966,4.692382,10,
638524920865365085,110388,0.05074156,4.637671,10,
638524920865473863,110399,0.05850435,4.58224,10,
638524920865583863,110410,0.06620093,4.527281,10,
638524920865693863,110421,0.07399999,4.47159,10,
638524920865803981,110432,0.08163457,4.417074,10,
638524920865913982,110444,0.08929841,4.362349,10,
638524920866033983,110455,0.09699055,4.307422,10,
638524920866143986,110466,0.104721,4.252221,10,
638524920866253997,110477,0.1124023,4.197372,10,
638524920866363983,110488,0.1201253,4.142225,10,
638524920866473986,110499,0.1278136,4.087325,10,
638524920866583980,110510,0.1357521,4.030639,10,
638524920866693983,110521,0.1432282,3.977254,10,
638524920866803978,110532,0.1508887,3.922553,10,
638524920866923978,110544,0.1586222,3.867331,10,
638524920867033983,110555,0.1664437,3.81148,10,
638524920867143979,110566,0.1740591,3.757101,10,
638524920867253984,110577,0.1817945,3.701865,10,
638524920867363981,110588,0.1894422,3.647256,10,
638524920867472492,110599,0.1971257,3.59239,10,
638524920867582505,110610,0.2047816,3.537722,10,
638524920867692496,110621,0.2126101,3.481821,10,
638524920867802493,110632,0.2203154,3.4268,10,
638524920867922494,110644,0.2278997,3.372643,10,
638524920868032490,110655,0.2357462,3.316614,10,
638524920868142488,110666,0.2433896,3.262035,10,
638524920868252589,110677,0.2510069,3.207643,10,
638524920868362589,110688,0.2588961,3.151308,10,
638524920868482696,110700,0.2668492,3.094518,10,
638524920868592700,110711,0.2746102,3.039099,10,
638524920868702707,110722,0.2824917,2.982819,10,
638524920868822694,110734,0.2903441,2.926748,10,
638524920868932698,110745,0.2981675,2.870884,10,
638524920869042695,110756,0.3060513,2.814588,10,
638524920869162694,110768,0.3139572,2.758135,10,
638524920869272712,110779,0.3218148,2.702026,10,
638524920869382700,110790,0.3297299,2.645507,10,
638524920869496726,110802,0.3375162,2.589908,10,
638524920869616726,110813,0.3454183,2.533482,10,
638524920869726733,110824,0.3533461,2.476871,10,
638524920869836733,110836,0.3611346,2.421256,10,
638524920869956733,110847,0.3689948,2.365129,10,
638524920870066736,110859,0.3768744,2.308864,10,
638524920870176730,110870,0.3848574,2.25186,10,
638524920870296730,110881,0.3925415,2.19699,10,
638524920870412427,110893,0.4004464,2.140545,10,
638524920870522274,110904,0.4083812,2.083884,10,
638524920870632269,110915,0.4159959,2.02951,10,
638524920870742371,110926,0.4238224,1.973624,10,
638524920870852368,110937,0.4314771,1.918964,10,
638524920870962372,110948,0.4391234,1.864364,10,
638524920871072368,110959,0.4468431,1.80924,10,
638524920871192377,110971,0.4545463,1.754234,10,
638524920871302381,110982,0.4624284,1.697951,10,
638524920871412386,110993,0.4700872,1.643262,10,
638524920871522375,111004,0.4776818,1.589031,10,
638524920871632383,111015,0.4853691,1.534139,10,
638524920871742369,111026,0.4930493,1.479297,10,
638524920871852384,111037,0.5007764,1.42412,10,
638524920871962362,111048,0.5084455,1.369358,10,
638524920872082382,111059,0.5162657,1.313516,10,
638524920872182371,111070,0.5240472,1.257951,10,
638524920872302374,111082,0.5316003,1.204017,10,
638524920872412374,111093,0.5394672,1.147842,10,
638524920872512632,111103,0.5469872,1.094144,10,
638524920872632370,111115,0.5546268,1.039592,10,
638524920872742368,111126,0.5623915,0.9841471,10,
638524920872852384,111137,0.5702405,0.9281001,10,
638524920872962377,111148,0.5777338,0.8745928,10,
638524920873072365,111159,0.5855898,0.8184962,10,
638524920873182382,111170,0.593331,0.7632189,10,
638524920873297894,111181,0.6008903,0.70924,10,
638524920873413555,111193,0.6085979,0.6542025,10,
638524920873523381,111204,0.6164433,0.5981817,10,
638524920873638568,111215,0.6242179,0.542666,10,
638524920873738571,111226,0.6320955,0.4864144,10,
638524920873848562,111237,0.6394988,0.4335499,10,
638524920873968561,111248,0.6470792,0.3794208,10,
638524920874068564,111259,0.6548551,0.3238955,10,
638524920874188564,111270,0.6624782,0.2694616,10,
638524920874298572,111281,0.6701919,0.2143807,10,
638524920874411921,111293,0.677943,0.1590328,10,
638524920874521860,111304,0.6856775,0.1038032,10,
638524920874637027,111315,0.6933544,0.048985,10,
638524920874747012,111326,0.7013108,-0.007829189,10,
638524920874857030,111338,0.7089405,-0.0623107,10,
638524920874967027,111348,0.7168739,-0.1189604,10,
638524920875077019,111359,0.7243624,-0.1724329,10,
638524920875177012,111370,0.7320164,-0.2270875,10,
638524920875297018,111381,0.7395552,-0.28092,10,
638524920875412547,111393,0.7472671,-0.335988,10,
638524920875522420,111404,0.75506,-0.3916345,10,
638524920875634021,111415,0.7628878,-0.4475298,10,
638524920875744016,111426,0.7704569,-0.5015783,10,
638524920875844012,111437,0.7781017,-0.5561676,10,
638524920875964017,111448,0.7857615,-0.6108637,10,
638524920876074023,111459,0.7935518,-0.6664915,10,
638524920876184031,111470,0.8013352,-0.7220702,10,
638524920876294032,111481,0.8089405,-0.7763772,10,
638524920876404013,111492,0.8166819,-0.831656,10,
638524920876513139,111503,0.8242427,-0.8856449,10,
638524920876633257,111515,0.8319009,-0.9403291,10,
638524920876743258,111526,0.8396891,-0.9959421,10,
