time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638524921586699674,182522,-2.272476,-2.26947,20,4.762872,-6.773351,20,3.473947,-24.88487,20,
638524921586879674,182540,-2.266691,-2.263693,19.94909,4.750747,-6.756108,19.94909,3.465103,-24.82152,19.94909,
638524921586949679,182546,-2.260472,-2.257482,19.89435,4.737712,-6.737572,19.89435,3.455596,-24.75342,19.89435,
638524921587049680,182557,-2.258026,-2.255039,19.87282,4.732585,-6.73028,19.87282,3.451856,-24.72664,19.87282,
638524921587159672,182568,-2.254531,-2.251548,19.84206,4.72526,-6.719862,19.84206,3.446513,-24.68836,19.84206,
638524921587269681,182579,-2.250839,-2.247861,19.80957,4.717522,-6.708859,19.80957,3.44087,-24.64794,19.80957,
638524921587379673,182590,-2.247057,-2.244084,19.77628,4.709594,-6.697585,19.77628,3.435087,-24.60651,19.77628,
638524921587499682,182601,-2.24326,-2.240292,19.74286,4.701636,-6.686267,19.74286,3.429282,-24.56493,19.74286,
638524921587609677,182612,-2.239436,-2.236473,19.70921,4.693622,-6.67487,19.70921,3.423437,-24.52306,19.70921,
638524921587719682,182623,-2.235715,-2.232758,19.67646,4.685824,-6.663781,19.67646,3.41775,-24.48232,19.67646,
638524921587829683,182635,-2.231934,-2.228981,19.64318,4.677897,-6.652509,19.64318,3.411968,-24.44091,19.64318,
638524921587939672,182646,-2.228105,-2.225157,19.60948,4.669873,-6.641097,19.60948,3.406115,-24.39898,19.60948,
638524921588049678,182657,-2.224349,-2.221406,19.57642,4.662,-6.6299,19.57642,3.400373,-24.35785,19.57642,
638524921588159682,182668,-2.22054,-2.217602,19.54291,4.654018,-6.61855,19.54291,3.394551,-24.31614,19.54291,
638524921588269681,182679,-2.216772,-2.213839,19.50974,4.64612,-6.607318,19.50974,3.388791,-24.27488,19.50974,
638524921588429678,182694,-2.212932,-2.210004,19.47594,4.638072,-6.595872,19.47594,3.38292,-24.23283,19.47594,
638524921588489683,182701,-2.207783,-2.204863,19.43063,4.627281,-6.580527,19.43063,3.37505,-24.17645,19.43063,
638524921588609678,182712,-2.205481,-2.202564,19.41037,4.622456,-6.573665,19.41037,3.37153,-24.15124,19.41037,
638524921588719679,182723,-2.201612,-2.1987,19.37632,4.614347,-6.562134,19.37632,3.365616,-24.10888,19.37632,
638524921588829684,182735,-2.197845,-2.194937,19.34316,4.606451,-6.550903,19.34316,3.359856,-24.06762,19.34316,
638524921588939807,182746,-2.194041,-2.191139,19.30968,4.598478,-6.539566,19.30968,3.354041,-24.02596,19.30968,
638524921589049804,182757,-2.190222,-2.187324,19.27607,4.590474,-6.528182,19.27607,3.348203,-23.98414,19.27607,
638524921589159800,182768,-2.186487,-2.183594,19.2432,4.582645,-6.517049,19.2432,3.342493,-23.94324,19.2432,
638524921589269798,182779,-2.182685,-2.179798,19.20974,4.574677,-6.505718,19.20974,3.336682,-23.90161,19.20974,
638524921589379796,182790,-2.178898,-2.176015,19.17641,4.56674,-6.49443,19.17641,3.330892,-23.86014,19.17641,
638524921589499797,182801,-2.175137,-2.172259,19.14331,4.558856,-6.48322,19.14331,3.325143,-23.81895,19.14331,
638524921589609803,182812,-2.171271,-2.168399,19.10929,4.550755,-6.471698,19.10929,3.319233,-23.77662,19.10929,
638524921589719795,182823,-2.167551,-2.164683,19.07654,4.542957,-6.460608,19.07654,3.313546,-23.73588,19.07654,
638524921589829804,182834,-2.163761,-2.160898,19.04319,4.535014,-6.449313,19.04319,3.307752,-23.69438,19.04319,
638524921589979931,182850,-2.159973,-2.157115,19.00985,4.527074,-6.438022,19.00985,3.301962,-23.6529,19.00985,
638524921590049929,182856,-2.154833,-2.151982,18.96462,4.516302,-6.422702,18.96462,3.294104,-23.59661,18.96462,
638524921590159919,182868,-2.152446,-2.149598,18.9436,4.511297,-6.415586,18.9436,3.290454,-23.57047,18.9436,
638524921590269916,182879,-2.148631,-2.145788,18.91003,4.503303,-6.404216,18.91003,3.284623,-23.5287,18.91003,
638524921590379917,182890,-2.144774,-2.141936,18.87609,4.495218,-6.392719,18.87609,3.278727,-23.48646,18.87609,
638524921590499937,182901,-2.140984,-2.138151,18.84273,4.487274,-6.381422,18.84273,3.272932,-23.44495,18.84273,
638524921590609919,182913,-2.137149,-2.134321,18.80898,4.479236,-6.369991,18.80898,3.26707,-23.40296,18.80898,
638524921590719931,182924,-2.1333,-2.130477,18.7751,4.471169,-6.35852,18.7751,3.261186,-23.36081,18.7751,
638524921590839931,182936,-2.129401,-2.126584,18.74079,4.462998,-6.346899,18.74079,3.255226,-23.31812,18.74079,
638524921590949926,182947,-2.125539,-2.122727,18.7068,4.454904,-6.335387,18.7068,3.249322,-23.27583,18.7068,
