time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,
638524916083511632,129846,0,5,10,
638524916083581641,129852,0.01214968,4.913243,10,
638524916083631639,129858,0.01652443,4.882005,10,
638524916083751636,129869,0.02047168,4.853819,10,
638524916083851637,129880,0.02846511,4.796741,10,
638524916083961628,129891,0.03602764,4.742739,10,
638524916084081637,129902,0.04371083,4.687876,10,
638524916084191641,129914,0.05144478,4.632651,10,
638524916084301641,129925,0.05915466,4.577597,10,
638524916084411632,129936,0.06706288,4.521127,10,
638524916084521636,129947,0.07463047,4.46709,10,
638524916084631632,129958,0.08224098,4.412745,10,
638524916084741657,129969,0.09001362,4.357244,10,
638524916084851631,129980,0.09772073,4.302209,10,
638524916084971629,129991,0.1053498,4.247733,10,
638524916085081648,130002,0.1130356,4.192851,10,
638524916085191632,130013,0.1206889,4.138201,10,
638524916085301642,130024,0.1284045,4.083107,10,
638524916085411627,130036,0.1361349,4.027907,10,
638524916085521638,130047,0.1438276,3.972975,10,
638524916085631627,130058,0.151522,3.918033,10,
638524916085741646,130069,0.1592308,3.862986,10,
638524916085851633,130080,0.1669973,3.807528,10,
638524916085961627,130091,0.1746622,3.752796,10,
638524916086081629,130103,0.182309,3.698193,10,
638524916086191639,130113,0.1902631,3.641395,10,
638524916086301631,130124,0.1977365,3.58803,10,
638524916086411593,130136,0.2054374,3.53304,10,
638524916086521605,130147,0.2131269,3.478132,10,
638524916086631597,130158,0.2208325,3.42311,10,
638524916086741601,130169,0.2285426,3.368054,10,
638524916086851597,130180,0.2362199,3.313233,10,
638524916086961595,130191,0.2440003,3.257676,10,
638524916087081613,130202,0.2516578,3.202996,10,
638524916087191609,130214,0.2594773,3.14716,10,
638524916087301608,130225,0.26733,3.091086,10,
638524916087421608,130236,0.275286,3.034275,10,
638524916087531606,130248,0.2831128,2.978386,10,
638524916087641607,130259,0.2908772,2.922943,10,
638524916087761606,130270,0.2987486,2.866736,10,
638524916087871608,130282,0.3066238,2.810502,10,
638524916087981601,130293,0.3144079,2.754919,10,
638524916088101606,130304,0.3223626,2.698117,10,
638524916088211597,130316,0.3301879,2.642239,10,
638524916088321709,130327,0.3379771,2.586619,10,
638524916088431710,130338,0.3458185,2.530626,10,
638524916088551700,130350,0.3536716,2.474549,10,
638524916088661698,130361,0.3615479,2.418308,10,
638524916088781707,130372,0.3693507,2.36259,10,
638524916088891701,130384,0.3772274,2.306346,10,
638524916089001706,130395,0.3850591,2.250422,10,
638524916089121709,130406,0.3928879,2.194519,10,
638524916089231703,130417,0.400858,2.137607,10,
638524916089333324,130428,0.4084294,2.083542,10,
638524916089453310,130439,0.4161221,2.028611,10,
638524916089563319,130451,0.4238276,1.973588,10,
638524916089673440,130462,0.4317082,1.917315,10,
638524916089783430,130473,0.4392395,1.863537,10,
638524916089893433,130484,0.4470361,1.807864,10,
638524916090003428,130495,0.4545892,1.753931,10,
638524916090113424,130506,0.4625338,1.6972,10,
638524916090223435,130517,0.4700039,1.643859,10,
638524916090333438,130528,0.477775,1.588368,10,
638524916090453447,130540,0.4854229,1.533757,10,
638524916090563436,130551,0.4932935,1.477556,10,
638524916090673438,130562,0.5008782,1.423396,10,
638524916090783449,130573,0.5085698,1.368473,10,
638524916090893430,130584,0.5162575,1.313577,10,
638524916091003425,130595,0.5241962,1.256889,10,
638524916091113443,130606,0.5317076,1.203253,10,
