time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203559983980772,540227,43323,-0.08435059,0.1033783,0.9910431,-0.08592224,0.1112213,0.9900665,0.08934703,0.2162301,0.9722457
638203559984070768,540236,43323,-0.0843811,0.1038971,0.9909973,-0.0854187,0.1109619,0.9901428,0.08934703,0.2162301,0.9722457
638203559984150764,540244,43324,-0.08439636,0.1036682,0.9910126,-0.08535767,0.110733,0.9901733,0.08939634,0.21624,0.972239
638203559984230768,540252,43325,-0.0844574,0.1038971,0.9909821,-0.08526611,0.1105194,0.9902039,0.08923251,0.2162813,0.9722448
638203559984310762,540260,43326,-0.08425903,0.1043243,0.9909515,-0.08456421,0.1105347,0.9902649,0.08917315,0.2160135,0.9723098
638203559984400766,540269,43326,-0.08428955,0.1043243,0.9909515,-0.08456421,0.1105499,0.9902496,0.08917315,0.2160135,0.9723098
638203559984490767,540278,43327,-0.08427429,0.1038818,0.9909973,-0.08474731,0.1105652,0.9902344,0.08908218,0.2158531,0.9723538
638203559984560768,540285,43328,-0.08447266,0.1044617,0.990921,-0.08476257,0.1105347,0.9902496,0.08906112,0.2154686,0.972441
638203559984650771,540294,43329,-0.08424377,0.1042786,0.9909668,-0.08477783,0.1105499,0.9902344,0.08892034,0.2153926,0.9724706
638203559984730767,540302,43329,-0.08425903,0.104248,0.9909668,-0.08483887,0.1111298,0.9901733,0.08892034,0.2153926,0.9724706
638203559984820770,540311,43330,-0.08369446,0.1049194,0.9909363,-0.08462524,0.1112823,0.9901733,0.08888179,0.2153079,0.9724929
638203559984900772,540319,43331,-0.08366394,0.1039581,0.9910431,-0.08483887,0.1110535,0.9901733,0.08880457,0.2152329,0.9725166
638203559984980764,540327,43332,-0.08273315,0.1042786,0.9910889,-0.08488464,0.111084,0.9901733,0.08901219,0.2152802,0.9724872
638203559985060766,540335,43332,-0.08297729,0.104248,0.9910736,-0.08468628,0.1102142,0.9902802,0.08901219,0.2152802,0.9724872
638203559985150767,540344,43333,-0.08287048,0.104248,0.9910889,-0.08494568,0.1101685,0.9902649,0.0888913,0.215383,0.9724755
638203559985230772,540352,43334,-0.08287048,0.1047516,0.9910278,-0.08506775,0.1093292,0.9903564,0.08899744,0.2151957,0.9725072
