time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203556923854338,234214,15769,0.03395081,0.04301453,0.9984894,0.03767395,0.0370636,0.9985962,-0.003111603,0.3000077,0.9539317
638203556923934332,234222,15770,0.03399658,0.04389954,0.9984436,0.03767395,0.04174805,0.9984131,-0.003021924,0.3001926,0.9538738
638203556924014337,234230,15770,0.03407288,0.04470825,0.9984131,0.03764343,0.03857422,0.9985352,-0.003021924,0.3001926,0.9538738
638203556924104342,234239,15771,0.03392029,0.04414368,0.9984436,0.03773499,0.03894043,0.9985199,-0.003085089,0.3005089,0.953774
638203556924184466,234247,15772,0.03424072,0.04345703,0.9984589,0.03796387,0.0385437,0.9985199,-0.002957448,0.3007315,0.9537042
638203556924264372,234255,15773,0.03097534,0.03625488,0.9988556,0.02967834,0.0514679,0.99823,-0.003125357,0.3010581,0.9536007
638203556924354365,234264,15774,0.01081848,0.03559875,0.9992981,0.01161194,0.03897095,0.9991608,-0.003267104,0.3014311,0.9534824
638203556924434372,234272,15774,0.008285522,0.01780701,0.9998016,0.01182556,0.03181458,0.9994202,-0.003267104,0.3014311,0.9534824
638203556924514372,234280,15775,0.01147461,0.02064514,0.9997101,0.01167297,0.02622986,0.9995728,-0.003190158,0.3013821,0.9534981
638203556924604380,234289,15776,0.006088257,0.02453613,0.9996796,0.01303101,0.03112793,0.9994202,-0.003311067,0.3015225,0.9534533
638203556924684376,234297,15776,0.007888794,0.02316284,0.9996948,0.01184082,0.03349304,0.9993591,-0.003311067,0.3015225,0.9534533
638203556924764373,234305,15777,0.009628296,0.02194214,0.9997101,0.01344299,0.03074646,0.9994354,-0.003408778,0.3018296,0.9533558
638203556924854371,234314,15778,0.01028442,0.02029419,0.9997406,0.01321411,0.03048706,0.9994354,-0.00348775,0.3021525,0.9532532
638203556924934375,234322,15779,0.01087952,0.0193634,0.9997406,0.01325989,0.03106689,0.9994202,-0.003492104,0.3024146,0.9531701
638203556925014374,234330,15779,0.01094055,0.01931763,0.9997406,0.01321411,0.0305481,0.9994354,-0.003492104,0.3024146,0.9531701
638203556925104373,234339,15780,0.01101685,0.0193634,0.9997406,0.01324463,0.03056335,0.9994354,-0.003372867,0.3023775,0.9531823
638203556925184404,234347,15781,0.01158142,0.01940918,0.9997406,0.01332092,0.03048706,0.9994354,-0.003488283,0.3023992,0.9531749
638203556925264431,234355,15782,0.01092529,0.01953125,0.9997406,0.01329041,0.03079224,0.9994354,-0.003469357,0.3026191,0.9531053
638203556925355750,234364,15783,0.01147461,0.01951599,0.9997406,0.01344299,0.03118896,0.9994202,-0.003596968,0.3024406,0.9531615
638203556925435755,234372,15783,0.01210022,0.01957703,0.9997253,0.0135498,0.03155518,0.9994049,-0.003596968,0.3024406,0.9531615
638203556925515802,234380,15784,0.01141357,0.01994324,0.9997253,0.01390076,0.03125,0.9994049,-0.003680187,0.3024968,0.9531433
638203556925605858,234389,15785,0.01080322,0.02037048,0.9997253,0.01426697,0.03146362,0.9993896,-0.003473349,0.3023975,0.9531755
638203556925685862,234397,15786,0.01066589,0.02212524,0.9996948,0.01693726,0.03146362,0.9993591,-0.00364721,0.3025468,0.9531276
638203556925765859,234405,15786,0.01060486,0.0216217,0.9996948,0.01637268,0.03395081,0.9992828,-0.00364721,0.3025468,0.9531276
638203556925855857,234414,15787,0.01051331,0.02185059,0.9996948,0.01538086,0.03457642,0.9992828,-0.003659048,0.3027059,0.953077
638203556925935859,234422,15788,0.01049805,0.02145386,0.9997101,0.01608276,0.03613281,0.9992065,-0.003882158,0.3029376,0.9530025
638203556926015858,234430,15788,0.009963989,0.02381897,0.9996643,0.0153656,0.03437805,0.9992828,-0.003882158,0.3029376,0.9530025
638203556926105857,234439,15789,0.009506226,0.02461243,0.999649,0.01457214,0.03474426,0.9992828,-0.003835372,0.3030489,0.9529673
638203556926189311,234447,15790,0.01004028,0.02459717,0.9996338,0.0161438,0.02856445,0.9994507,-0.003713154,0.3033689,0.952866
638203556926269262,234455,15791,0.006896973,0.04266357,0.999054,0.006362915,0.04110718,0.9991302,-0.003682318,0.3033881,0.9528599
638203556926349264,234463,15792,0.00920105,0.0750885,0.9971313,0.007293701,0.07276917,0.9973145,-0.003829441,0.3035412,0.9528106
638203556926439262,234472,15792,-0.004714966,0.09629822,0.9953308,-0.001419067,0.09703064,0.9952698,-0.003829441,0.3035412,0.9528106
638203556926519388,234480,15793,0.004119873,0.1102295,0.9938812,-0.003570557,0.1108246,0.9938202,-0.00362611,0.303818,0.9527232
638203556926609328,234489,15794,0.01141357,0.1046295,0.9944305,0.001739502,0.1052856,0.9944305,-0.003815793,0.3038524,0.9527115
638203556926679328,234496,15794,0.006149292,0.1131592,0.9935455,0.002197266,0.1092377,0.9940033,-0.003815793,0.3038524,0.9527115
638203556926769322,234505,15795,0.004318237,0.1105957,0.9938507,0.001174927,0.1087036,0.9940643,-0.003627555,0.3039376,0.9526851
638203556926849369,234513,15796,0.000289917,0.1162415,0.9932098,-0.0006408691,0.1079865,0.9941406,-0.003783685,0.3040965,0.9526337
638203556926934479,234522,15797,0.001205444,0.1174011,0.9930725,-0.0008544922,0.1086578,0.9940643,-0.003669361,0.3042872,0.9525733
638203556927014479,234530,15797,0.002151489,0.1184692,0.9929504,-0.001434326,0.1082306,0.9941101,-0.003669361,0.3042872,0.9525733
638203556927104474,234539,15798,0.004425049,0.1181335,0.992981,-0.002334595,0.1073608,0.9942017,-0.003547322,0.3045464,0.9524909
638203556927184608,234547,15799,0.001800537,0.1175537,0.9930573,-0.003097534,0.1066284,0.994278,-0.003557502,0.3047276,0.9524329
