time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203566370956260,1178924,100829,-0.05635071,0.1569672,0.9859924,-0.04721069,0.1568909,0.9864807,0.06510685,0.1575664,0.9853598
638203566371026353,1178931,100830,-0.05596924,0.1566467,0.9860535,-0.04736328,0.1577454,0.9863281,0.06532152,0.1575499,0.9853482
638203566371106302,1178939,100831,-0.05580139,0.1569519,0.9860229,-0.04733276,0.1568146,0.9864807,0.06553987,0.1574081,0.9853564
638203566371196299,1178948,100831,-0.05513,0.1567383,0.986084,-0.0471344,0.1579895,0.9863129,0.06553987,0.1574081,0.9853564
638203566371276302,1178956,100832,-0.05570984,0.1569977,0.9860229,-0.04710388,0.1579742,0.9863129,0.06573936,0.1573167,0.9853577
638203566371356301,1178964,100833,-0.05566406,0.1569519,0.9860229,-0.04714966,0.1578064,0.9863281,0.06612135,0.1573522,0.9853265
638203566371446301,1178973,100834,-0.05543518,0.1575165,0.9859467,-0.0475769,0.1576843,0.9863281,0.06645943,0.1573152,0.9853097
638203566371526302,1178981,100834,-0.05548096,0.1568604,0.9860535,-0.0486908,0.1578522,0.9862518,0.06645943,0.1573152,0.9853097
638203566371606299,1178989,100835,-0.05574036,0.1566925,0.9860687,-0.04862976,0.157608,0.9862976,0.06666373,0.1574875,0.9852683
638203566371696434,1178998,100836,-0.0557251,0.1568451,0.9860382,-0.04875183,0.1573639,0.9863281,0.06675009,0.1578055,0.9852116
638203566371786375,1179007,100837,-0.0561676,0.1570282,0.9859924,-0.0486908,0.1573029,0.9863434,0.06693844,0.1581449,0.9851444
638203566371856381,1179014,100837,-0.05654907,0.1571045,0.9859467,-0.04893494,0.1572418,0.9863434,0.06693844,0.1581449,0.9851444
638203566371946375,1179023,100838,-0.05686951,0.157196,0.9859161,-0.04910278,0.1570892,0.9863586,0.0668556,0.1586556,0.9850679
638203566372026376,1179031,100839,-0.05632019,0.1572113,0.9859467,-0.04916382,0.157135,0.9863434,0.06702136,0.1589916,0.9850025
638203566372106374,1179039,100840,-0.0562439,0.1566162,0.9860535,-0.04943848,0.1571503,0.9863281,0.0670394,0.1590592,0.9849903
638203566372206375,1179049,100841,-0.05708313,0.1564636,0.9860229,-0.05039978,0.1571198,0.9862823,0.06731242,0.1590221,0.9849777
638203566372276374,1179056,100841,-0.05757141,0.1570892,0.9859009,-0.05018616,0.1564636,0.9864044,0.06731242,0.1590221,0.9849777
638203566372366374,1179065,100842,-0.05674744,0.1564941,0.9860382,-0.0499115,0.1564636,0.9864044,0.06751711,0.1591462,0.9849436
638203566372446375,1179073,100843,-0.05735779,0.1565399,0.9859924,-0.05058289,0.1558685,0.9864655,0.06768306,0.1591715,0.9849281
638203566372526377,1179081,100843,-0.05754089,0.1562653,0.9860229,-0.05023193,0.1553802,0.9865723,0.06768306,0.1591715,0.9849281
638203566372606374,1179089,100844,-0.0587616,0.1556091,0.9860535,-0.04975891,0.154068,0.9868011,0.06769183,0.1589489,0.9849635
638203566372686413,1179097,100845,-0.05882263,0.1555634,0.9860687,-0.04969788,0.1534119,0.986908,0.06783573,0.1591996,0.9849131
638203566372776416,1179106,100846,-0.05961609,0.1554413,0.9860382,-0.04989624,0.1534424,0.9868927,0.06803614,0.1590796,0.9849187
638203566372856409,1179114,100846,-0.06019592,0.1555481,0.9859772,-0.05010986,0.1538086,0.9868164,0.06803614,0.1590796,0.9849187
638203566372946413,1179123,100847,-0.06028748,0.1551056,0.9860535,-0.05036926,0.154129,0.9867554,0.0681565,0.1593919,0.9848598
638203566373026420,1179131,100848,-0.06034851,0.1537933,0.9862518,-0.04995728,0.1533661,0.9868927,0.06841159,0.1596025,0.984808
638203566373106412,1179139,100849,-0.06034851,0.1538239,0.9862366,-0.0496521,0.1533203,0.9869232,0.06835637,0.1597557,0.984787
638203566373186414,1179147,100849,-0.06091309,0.1538086,0.9862061,-0.04937744,0.1534424,0.986908,0.06835637,0.1597557,0.984787
638203566373277652,1179156,100850,-0.06091309,0.1538086,0.9862061,-0.04994202,0.153183,0.9869232,0.06863234,0.159834,0.9847552
638203566373357660,1179164,100851,-0.06103516,0.1551208,0.9859924,-0.05044556,0.1531982,0.9868927,0.06862182,0.1600844,0.9847152
638203566373442753,1179173,100852,-0.06188965,0.1550903,0.9859467,-0.0509491,0.1531982,0.9868774,0.068762,0.1601904,0.9846882
638203566373522746,1179181,100852,-0.05706787,0.1486664,0.9872284,-0.05450439,0.1542511,0.9865112,0.068762,0.1601904,0.9846882
638203566373602743,1179189,100853,-0.04397583,0.1574707,0.9865417,-0.02958679,0.1512604,0.9880371,0.06877221,0.1605208,0.9846337
638203566373691101,1179198,100854,-0.02815247,0.1596069,0.9867706,-0.01751709,0.1444092,0.9893494,0.06894914,0.1605799,0.9846116
638203566373776189,1179206,100855,-0.01901245,0.1524811,0.9881134,-0.01812744,0.1499176,0.9885254,0.06896923,0.1604737,0.9846275
638203566373856187,1179214,100855,-0.02133179,0.1581879,0.9871674,-0.01530457,0.1396332,0.9900818,0.06896923,0.1604737,0.9846275
638203566373936185,1179222,100856,-0.02333069,0.1548004,0.9876556,-0.01377869,0.1394043,0.9901276,0.06908965,0.1604285,0.9846265
638203566374026198,1179231,100857,-0.02331543,0.1527863,0.9879761,-0.01739502,0.1495361,0.9885864,0.06901623,0.1603244,0.9846486
638203566374111278,1179240,100858,-0.02333069,0.1551819,0.9875946,-0.01902771,0.145874,0.9891052,0.06896544,0.1603475,0.9846484
638203566374191281,1179248,100858,-0.0234375,0.155304,0.9875793,-0.0176239,0.1429749,0.989563,0.06896544,0.1603475,0.9846484
638203566374271286,1179256,100859,-0.02386475,0.1557922,0.9874878,-0.01675415,0.1455383,0.9891968,0.0691416,0.1602336,0.9846545
638203566374361381,1179265,100860,-0.02456665,0.1532288,0.9878845,-0.01751709,0.1469574,0.9889832,0.06914325,0.1601854,0.9846623
638203566374441313,1179273,100861,-0.02523804,0.15448,0.9876709,-0.01863098,0.1475067,0.9888763,0.06913797,0.1601527,0.984668
638203566374521319,1179281,100861,-0.02487183,0.1539459,0.9877625,-0.01864624,0.1479034,0.9888153,0.06913797,0.1601527,0.984668
638203566374611396,1179290,100862,-0.02534485,0.1544189,0.9876709,-0.01802063,0.1479034,0.9888306,0.06949004,0.1602926,0.9846205
638203566374686945,1179297,100863,-0.02514648,0.1546326,0.9876404,-0.01783752,0.1478424,0.9888458,0.0693977,0.1605159,0.9845906
638203566374772025,1179306,100864,-0.02481079,0.1544952,0.9876709,-0.01773071,0.1478577,0.9888458,0.06959633,0.1608653,0.9845195
638203566374852018,1179314,100864,-0.02471924,0.1546936,0.9876404,-0.01789856,0.1478271,0.9888458,0.06959633,0.1608653,0.9845195
638203566374942025,1179323,100865,-0.02497864,0.154953,0.9875946,-0.01829529,0.1478424,0.9888306,0.06996775,0.1609585,0.984478
638203566375022038,1179331,100866,-0.02612305,0.1549683,0.9875641,-0.01791382,0.1478271,0.9888458,0.0701949,0.1612713,0.9844106
638203566375107120,1179339,100867,-0.02655029,0.1549835,0.9875488,-0.01782227,0.1472626,0.9889221,0.07037275,0.1617118,0.9843256
