time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203563276230583,869452,72965,-0.02914429,0.1386871,0.9898987,-0.01780701,0.1503754,0.9884644,0.03897168,0.1636057,0.9857557
638203563276320629,869461,72966,-0.02902222,0.1385803,0.9899139,-0.01795959,0.1504059,0.9884491,0.03924024,0.1635443,0.9857553
638203563276400628,869469,72967,-0.02880859,0.1387329,0.9898987,-0.01831055,0.1504059,0.9884491,0.03932446,0.1638409,0.9857027
638203563276480631,869477,72967,-0.02867126,0.138855,0.9898834,-0.01878357,0.1504059,0.9884338,0.03932446,0.1638409,0.9857027
638203563276570626,869486,72968,-0.02886963,0.1389923,0.9898682,-0.01864624,0.1504211,0.9884338,0.03951441,0.1637622,0.9857082
638203563276653401,869494,72969,-0.02890015,0.1391602,0.9898376,-0.01846313,0.1504517,0.9884338,0.0396436,0.1635929,0.9857311
638203563276733402,869502,72970,-0.02879333,0.1389618,0.9898682,-0.01811218,0.150528,0.9884338,0.03968707,0.1634686,0.98575
638203563276813404,869510,72970,-0.0284729,0.1388855,0.9898834,-0.01855469,0.1506195,0.9884033,0.03968707,0.1634686,0.98575
638203563276903400,869519,72971,-0.02854919,0.1390381,0.9898682,-0.01832581,0.1506653,0.9884033,0.03967328,0.1630379,0.9858218
638203563276983403,869527,72972,-0.02911377,0.1391754,0.9898376,-0.01821899,0.1501007,0.9884949,0.03976767,0.1629463,0.9858332
638203563277063404,869535,72973,-0.02919006,0.1362457,0.9902344,-0.01776123,0.1499939,0.9885254,0.03976999,0.1624301,0.9859183
638203563277149349,869543,72973,-0.02920532,0.1357727,0.9902954,-0.01875305,0.1500549,0.9884949,0.03976999,0.1624301,0.9859183
638203563277229347,869551,72974,-0.02920532,0.1359253,0.9902802,-0.01837158,0.1495972,0.9885712,0.03988456,0.162133,0.9859625
638203563277319381,869560,72975,-0.02928162,0.1352844,0.9903717,-0.01937866,0.1481628,0.9887695,0.04012186,0.1617237,0.9860201
638203563277399392,869568,72976,-0.02928162,0.1357574,0.9902954,-0.01950073,0.147934,0.9888,0.04016132,0.1615367,0.9860492
638203563277479394,869576,72976,-0.02928162,0.1353912,0.9903564,-0.01956177,0.1480713,0.9887695,0.04016132,0.1615367,0.9860492
638203563277569389,869585,72977,-0.02929688,0.1355591,0.9903259,-0.01957703,0.1480865,0.9887695,0.04028377,0.1613203,0.9860796
638203563277651836,869594,72978,-0.02958679,0.1361847,0.9902344,-0.01982117,0.1483002,0.988739,0.04040793,0.1613091,0.9860764
638203563277731833,869602,72979,-0.02957153,0.1360168,0.9902496,-0.01974487,0.1485291,0.9887085,0.04054239,0.1612708,0.9860771
638203563277811831,869610,72979,-0.02984619,0.1361389,0.9902344,-0.01982117,0.1492767,0.9885864,0.04054239,0.1612708,0.9860771
638203563277901834,869619,72980,-0.02839661,0.1362,0.9902649,-0.01992798,0.1485291,0.9886932,0.04062054,0.1612788,0.9860726
638203563277981833,869627,72981,-0.02938843,0.1341248,0.9905243,-0.02038574,0.1482544,0.9887238,0.04078298,0.1612466,0.9860711
638203563278061841,869635,72982,-0.02940369,0.1342163,0.990509,-0.02035522,0.1483765,0.9887085,0.04084411,0.1613637,0.9860495
638203563278151872,869644,72983,-0.03019714,0.1339417,0.9905243,-0.02059937,0.1486359,0.9886627,0.04100089,0.1614951,0.9860215
638203563278231866,869652,72983,-0.02963257,0.1356506,0.9903107,-0.02095032,0.1481781,0.9887238,0.04100089,0.1614951,0.9860215
638203563278312063,869660,72984,-0.02973938,0.1355286,0.9903259,-0.02061462,0.1482391,0.9887238,0.04105575,0.161374,0.986039
638203563278401913,869669,72985,-0.03056335,0.1359863,0.9902344,-0.02059937,0.1479187,0.9887695,0.04096727,0.16132,0.9860515
638203563278481908,869677,72985,-0.03100586,0.1362152,0.9901886,-0.02023315,0.1467743,0.9889526,0.04096727,0.16132,0.9860515
638203563278561905,869685,72986,-0.03129578,0.1374969,0.9900055,-0.02017212,0.1464386,0.9889984,0.04103011,0.1615475,0.9860116
638203563278649172,869694,72987,-0.03160095,0.1372528,0.9900208,-0.01985168,0.145874,0.98909,0.04113905,0.1614744,0.9860191
638203563278729170,869701,72988,-0.03103638,0.1374054,0.9900208,-0.02017212,0.1462555,0.9890289,0.04105001,0.1615271,0.9860141
638203563278819165,869710,72989,-0.03128052,0.1371613,0.9900513,-0.02052307,0.1463013,0.9890137,0.04125228,0.1615943,0.9859947
638203563278899273,869718,72989,-0.03120422,0.1372375,0.990036,-0.02090454,0.1465302,0.9889832,0.04125228,0.1615943,0.9859947
638203563278979171,869726,72990,-0.03121948,0.1373138,0.9900208,-0.0209198,0.145874,0.9890747,0.04125706,0.1618205,0.9859574
638203563279069171,869735,72991,-0.03175354,0.1381836,0.9898834,-0.0209198,0.1459045,0.9890747,0.0412802,0.1621655,0.9858997
638203563279149220,869743,72991,-0.03216553,0.1384125,0.9898376,-0.0209198,0.1446228,0.9892578,0.0412802,0.1621655,0.9858997
638203563279229214,869751,72992,-0.03219604,0.1384277,0.9898376,-0.02081299,0.1451416,0.9891815,0.04126563,0.1624685,0.9858505
638203563279324318,869761,72993,-0.03216553,0.1384125,0.9898376,-0.02078247,0.1452637,0.9891663,0.04123474,0.1630031,0.9857635
638203563279394321,869768,72994,-0.03233337,0.1381683,0.9898682,-0.02072144,0.14534,0.989151,0.04137961,0.16322,0.9857215
638203563279484320,869777,72995,-0.03250122,0.1381531,0.9898682,-0.0193634,0.145401,0.9891815,0.04127019,0.163642,0.9856561
638203563279564318,869785,72995,-0.03245544,0.1377563,0.9899292,-0.02079773,0.14505,0.9891968,0.04127019,0.163642,0.9856561
638203563279644326,869793,72996,-0.03253174,0.1376953,0.9899292,-0.02085876,0.1445007,0.9892731,0.04145441,0.1638968,0.9856061
638203563279734318,869802,72997,-0.03248596,0.1371918,0.9900055,-0.02085876,0.1443329,0.9893036,0.04138174,0.1642231,0.9855548
638203563279814321,869810,72997,-0.03257751,0.1370697,0.9900208,-0.02087402,0.1442719,0.9893036,0.04138174,0.1642231,0.9855548
638203563279894318,869818,72998,-0.03283691,0.1369934,0.9900208,-0.02088928,0.1441803,0.9893188,0.04136783,0.1644363,0.9855199
638203563279984317,869827,72999,-0.03300476,0.136734,0.9900513,-0.02090454,0.1441193,0.9893341,0.04130459,0.1648806,0.9854483
638203563280064317,869835,73000,-0.03326416,0.1367798,0.990036,-0.02088928,0.1435852,0.9894104,0.04141066,0.1652307,0.9853852
638203563280144364,869843,73000,-0.03352356,0.1367645,0.9900208,-0.02088928,0.1435699,0.9894104,0.04141066,0.1652307,0.9853852
638203563280234360,869852,73001,-0.03356934,0.1368561,0.9900208,-0.02124023,0.1433411,0.9894409,0.04160265,0.1653921,0.98535
638203563280314355,869860,73002,-0.03352356,0.1368408,0.9900208,-0.021698,0.1430969,0.9894562,0.04159069,0.1653531,0.985357
638203563280394362,869868,73003,-0.03355408,0.1367188,0.990036,-0.02177429,0.1431274,0.9894562,0.04205845,0.1654675,0.985318
638203563280480137,869877,73003,-0.03404236,0.1365051,0.9900513,-0.02182007,0.1426849,0.9895172,0.04205845,0.1654675,0.985318
638203563280570143,869886,73004,-0.03436279,0.1364136,0.9900513,-0.02183533,0.1424103,0.989563,0.04211587,0.165558,0.9853004
638203563280649101,869893,73005,-0.03417969,0.1361694,0.9900818,-0.02209473,0.14151,0.9896851,0.0423031,0.1656109,0.9852834
638203563280729100,869901,73006,-0.0345459,0.1352692,0.9902039,-0.02223206,0.1400909,0.9898834,0.04246913,0.1656412,0.9852712
638203563280819096,869910,73006,-0.03486633,0.1348572,0.9902496,-0.02226257,0.1397552,0.9899292,0.04246913,0.1656412,0.9852712
638203563280899098,869918,73007,-0.03457642,0.1348267,0.9902649,-0.02236938,0.1394348,0.989975,0.04276245,0.1655879,0.9852675
638203563280979101,869926,73008,-0.03456116,0.1355133,0.9901581,-0.02355957,0.1394653,0.9899445,0.04299983,0.1657037,0.9852377
638203563281069100,869935,73009,-0.03433228,0.1347198,0.9902802,-0.0236969,0.1408234,0.9897461,0.04311607,0.1656184,0.985247
638203563281144783,869943,73009,-0.03390503,0.134079,0.990387,-0.0242157,0.1408539,0.9897308,0.04311607,0.1656184,0.985247
638203563281234777,869952,73010,-0.03392029,0.1338043,0.9904175,-0.02478027,0.1408691,0.9897156,0.04371785,0.1654215,0.9852535
638203563281314925,869960,73011,-0.03358459,0.1337738,0.9904327,-0.02479553,0.1408234,0.9897156,0.0438555,0.1649527,0.985326
638203563281394815,869968,73012,-0.03356934,0.1325073,0.9906006,-0.02813721,0.1375122,0.990097,0.04407347,0.1643834,0.9854114
638203563281484816,869977,73012,-0.03381348,0.1316528,0.9907074,-0.0276947,0.1405029,0.9896851,0.04407347,0.1643834,0.9854114
638203563281564811,869985,73013,-0.03309631,0.1313324,0.9907837,-0.02209473,0.14534,0.9891205,0.04435757,0.1638345,0.9854901
638203563281644814,869993,73014,-0.03295898,0.1343231,0.990387,-0.02967834,0.1440887,0.9891052,0.04468305,0.1630543,0.9856048
638203563281734811,870002,73015,-0.0370636,0.1320801,0.9905396,-0.02931213,0.1457672,0.9888763,0.0447614,0.1618534,0.9857991
638203563281814812,870010,73015,-0.03387451,0.1367493,0.9900208,-0.02005005,0.1415558,0.9897156,0.0447614,0.1618534,0.9857991
638203563281894811,870018,73016,-0.03723145,0.1338806,0.9902954,-0.02311707,0.1322479,0.9909363,0.04507869,0.1604529,0.9860136
638203563281974811,870026,73017,-0.03633118,0.1332245,0.9904175,-0.02450562,0.09805298,0.994873,0.04507811,0.1588117,0.9862793
638203563282064811,870035,73018,-0.03497314,0.1267548,0.9913025,-0.02854919,0.1116943,0.9933167,0.04541673,0.1569062,0.9865687
638203563282144855,870043,73018,-0.04772949,0.1049805,0.9933167,-0.027108942776119402,0.11500112985074626,0.9928748731343284,0.04541673,0.1569062,0.9865687
638203563282234859,870052,73019,-0.04508209,0.10911562857142858,0.9928360428571429,-0.025488664649253732,0.11872131343283582,0.9923778179104479,0.0454937,0.1549493,0.9868744
638203563282304847,870059,73020,-0.04302300111111111,0.1123318396825397,0.9924621984126984,-0.02422844832835821,0.1216147895522388,0.9919912194029852,0.04579481,0.1535612,0.9870774
638203563282374846,870066,73020,-0.040963912222222225,0.11554805079365081,0.992088353968254,-0.022968232007462685,0.12450826567164178,0.9916046208955225,0.04579481,0.1535612,0.9870774
638203563282464852,870075,73021,-0.038316512222222224,0.11968317936507938,0.9916076968253968,-0.021347953880597015,0.12822844925373134,0.9911075656716419,0.04607498,0.1529669,0.9871566
638203563282544853,870083,73022,-0.03596326777777778,0.12335884920634922,0.991180446031746,-0.019907706656716418,0.1315352791044776,0.9906657388059703,0.04629462,0.1524157,0.9872316
638203563282634847,870092,73023,-0.03331586777777778,0.1274939777777778,0.9906997888888889,-0.018287428529850748,0.13525546268656716,0.9901686835820898,0.04687821,0.1525282,0.9871867
638203563282724855,870101,73024,-0.030668467777777778,0.13162910634920635,0.9902191317460317,-0.016667150402985078,0.13897564626865672,0.9896716283582092,0.04724184,0.152953,0.9871036
638203563282814861,870110,73024,-0.028021067777777776,0.1357642349206349,0.9897384746031745,-0.015046872276119406,0.14269582985074628,0.9891745731343287,0.04724184,0.152953,0.9871036
638203563282904850,870119,73025,-0.025373667777777775,0.13989936349206347,0.9892578174603174,-0.013426594149253734,0.14641601343283583,0.9886775179104481,0.04789176,0.1531716,0.9870384
638203563282984898,870127,73026,-0.02302042333333333,0.14357503333333332,0.9888305666666666,-0.011986346925373138,0.1497228432835821,0.9882356910447765,0.04870084,0.1538207,0.9868979
638203563283064898,870135,73027,-0.020667178888888887,0.14725070317460318,0.9884033158730158,-0.010546099701492541,0.15302967313432836,0.9877938641791049,0.04957275,0.1543974,0.9867644
638203563283144946,870143,73027,-0.018313934444444444,0.15092637301587303,0.987976065079365,-0.009105852477611944,0.15633650298507462,0.9873520373134332,0.04957275,0.1543974,0.9867644
638203563283234943,870152,73028,-0.015666534444444442,0.1550615015873016,0.9874954079365078,-0.007485574350746272,0.16005668656716418,0.9868549820895527,0.05034075,0.1553656,0.9865735
638203563283316875,870160,73029,-0.013313289999999998,0.15873717142857144,0.987068157142857,-0.006045327126865676,0.16336351641791044,0.9864131552238811,0.05129497,0.15604,0.9864179
638203563283406745,870169,73030,-0.01066589,0.1628723,0.9865875,-0.004425049,0.1670837,0.9859161,0.05202701,0.1572353,0.9861898
638203563283486742,870177,73030,-0.01615906,0.1603699,0.986908,-0.007339478,0.1686401,0.9856415,0.05202701,0.1572353,0.9861898
638203563283566745,870185,73031,-0.01713562,0.1592255,0.9870911,-0.01594543,0.1738586,0.9846344,0.05291637,0.1582917,0.9859734
638203563283646745,870193,73032,-0.01339722,0.1600647,0.9870148,-0.007904053,0.1645966,0.9863129,0.05362279,0.1593384,0.9857666
638203563283726748,870201,73033,-0.01513672,0.1542969,0.9878998,-0.01034546,0.1678925,0.9857483,0.0544266,0.1603972,0.9855509
638203563283816749,870210,73033,-0.01564026,0.1609955,0.9868164,-0.01199341,0.1627808,0.9865875,0.0544266,0.1603972,0.9855509
638203563283896744,870218,73034,-0.01869202,0.153656,0.9879456,-0.01657104,0.1706848,0.9851837,0.05515877,0.1612631,0.9853688
638203563283986745,870227,73035,-0.02313232,0.1514435,0.9881897,-0.01184082,0.1653748,0.986145,0.05587174,0.1621314,0.9851862
638203563284066746,870235,73036,-0.0221405,0.1496124,0.9884949,-0.01568604,0.1679993,0.9856567,0.05632475,0.1628824,0.9850365
638203563284146793,870243,73036,-0.02363586,0.1499939,0.9883881,-0.01412964,0.1638031,0.9863892,0.05632475,0.1628824,0.9850365
638203563284226786,870251,73037,-0.02511597,0.150177,0.988327,-0.01177979,0.1652222,0.9861755,0.05666719,0.1641359,0.9848087
638203563284326826,870261,73038,-0.02432251,0.1498108,0.9884033,-0.01118469,0.1607666,0.9869232,0.05692298,0.1652969,0.9845998
638203563284396825,870268,73039,-0.02441406,0.1496887,0.9884186,-0.01580811,0.1580963,0.9872894,0.05725365,0.1671553,0.9842668
638203563284476824,870276,73039,-0.02487183,0.1495514,0.9884338,-0.0128479,0.1559143,0.9876709,0.05725365,0.1671553,0.9842668
638203563284566825,870285,73040,-0.0236969,0.1486969,0.9885864,-0.01402283,0.1548004,0.9878387,0.05768987,0.1692414,0.9838848
638203563284646825,870293,73041,-0.0243988,0.1483154,0.9886322,-0.01544189,0.1536865,0.9879913,0.05764654,0.1721816,0.983377
638203563284726827,870301,73042,-0.02500916,0.1479645,0.9886627,-0.01452637,0.1498108,0.9886017,0.05769576,0.175904,0.9827151
638203563284816832,870310,73042,-0.02409363,0.1478119,0.9887085,-0.01907349,0.1477966,0.9888306,0.05769576,0.175904,0.9827151
638203563284896827,870318,73043,-0.0249176,0.1477356,0.9887085,-0.0146637,0.1431274,0.9895935,0.05802959,0.1811809,0.9817362
638203563284976828,870326,73044,-0.02009583,0.143219,0.9894714,-0.01315308,0.1506805,0.9884796,0.05812766,0.1883511,0.9803801
638203563285076825,870336,73045,-0.02133179,0.1710663,0.9850159,-0.02250671,0.1706085,0.9850769,0.05818067,0.197515,0.9785718
638203563285146854,870343,73045,-0.0100708,0.2199554,0.9754486,-0.01808167,0.2203979,0.975235,0.05818067,0.197515,0.9785718
638203563285226861,870351,73046,-0.0141449,0.2417145,0.9702301,-0.0199585,0.2355194,0.9716492,0.05851509,0.2102483,0.9758953
638203563285325753,870361,73047,0.00617981,0.2944031,0.955658,-0.02095032,0.2795563,0.9598846,0.05865163,0.2252686,0.9725297
638203563285395753,870368,73048,-0.008056641,0.3150482,0.9490356,-0.01283264,0.3082581,0.9512024,0.05860159,0.245674,0.9675795
638203563285475799,870376,73048,-0.005065918,0.3469696,0.937851,-0.01779175,0.3526154,0.9355927,0.05860159,0.245674,0.9675795
638203563285565799,870385,73049,-0.001281738,0.3691101,0.9293823,-0.0234375,0.3705444,0.9285126,0.05849447,0.2677951,0.9616986
638203563285645802,870393,73050,-0.001266479,0.3860779,0.9224548,-0.0216217,0.3918762,0.919754,0.05811216,0.2908209,0.9550111
638203563285725797,870401,73051,0.002883911,0.4093933,0.9123383,-0.02435303,0.4058533,0.9136047,0.05802858,0.3125923,0.9481133
638203563285815804,870410,73051,0.001800537,0.4063416,0.9137115,-0.02645874,0.413559,0.91008,0.05802858,0.3125923,0.9481133
638203563285895796,870418,73052,0.00440979,0.4054871,0.9140778,-0.02232361,0.4091644,0.9121704,0.05754497,0.3349783,0.940467
638203563285975798,870426,73053,0.0027771,0.4059601,0.9138794,-0.01608276,0.4075165,0.9130402,0.05700076,0.3561518,0.932688
638203563286065800,870435,73054,-0.0003509521,0.3870392,0.9220581,-0.02383423,0.3721924,0.9278412,0.05652033,0.377155,0.9244239
638203563286145836,870443,73054,0.002807617,0.3725586,0.9279938,-0.01805115,0.3701172,0.9288025,0.05652033,0.377155,0.9244239
638203563286235831,870452,73055,-0.0009002686,0.3624878,0.9319763,-0.01531982,0.3587494,0.9333038,0.05605166,0.3958978,0.9165823
638203563286324200,870461,73056,-0.00668335,0.3421326,0.939621,-0.009460449,0.33078,0.9436493,0.05566417,0.4135191,0.9087923
638203563286394194,870468,73057,-0.004898071,0.3338623,0.9425964,-0.01457214,0.3283081,0.9444427,0.05545721,0.429135,0.9015363
638203563286484188,870477,73057,-0.004364014,0.3210449,0.947052,-0.01452637,0.3182526,0.9478912,0.05545721,0.429135,0.9015363
638203563286564194,870485,73058,-0.006469727,0.2979431,0.9545441,-0.01596069,0.2919769,0.9562836,0.05552366,0.444278,0.8941668
638203563286644192,870493,73059,-0.005996704,0.2840729,0.9587708,-0.006469727,0.2772675,0.9607544,0.05582492,0.4576613,0.8873724
638203563286734193,870502,73060,-0.008209229,0.2748108,0.9614563,-0.004501343,0.2795105,0.9601288,0.05645507,0.4705246,0.8805791
638203563286814193,870510,73060,0.002212524,0.2681732,0.9633636,-0.002578735,0.2655334,0.9640808,0.05645507,0.4705246,0.8805791
638203563286894192,870518,73061,-0.01235962,0.2523346,0.9675598,-0.009063721,0.2401123,0.9706879,0.05758429,0.4814671,0.8745704
638203563286984193,870527,73062,-0.01856995,0.2279053,0.9734955,-0.01060486,0.223938,0.9745331,0.05957849,0.4909987,0.8691207
638203563287064193,870535,73063,-0.01350403,0.2280426,0.9735413,-0.008163452,0.2207794,0.9752808,0.0617999,0.4991747,0.8642948
638203563287149293,870543,73063,-0.01251221,0.2167053,0.9761505,-0.009216309,0.2212372,0.9751587,0.0617999,0.4991747,0.8642948
638203563287229292,870551,73064,-0.0135498,0.2128601,0.9769745,-0.007965088,0.2103729,0.9775848,0.06557004,0.5049413,0.8606595
638203563287324395,870561,73065,0.004699707,0.1954651,0.9806976,-0.007965088,0.2026978,0.9792023,0.07085031,0.508315,0.8582518
638203563287394395,870568,73066,0.06181335,0.17453,0.9826965,0.04359436,0.178894,0.9828949,0.07833768,0.5093123,0.8570089
638203563287484398,870577,73066,0.1059265,0.1614227,0.9811707,0.09205627,0.1450348,0.9851227,0.07833768,0.5093123,0.8570089
638203563287564397,870585,73067,0.1533661,0.1243439,0.9803009,0.1507111,0.1328735,0.979599,0.08919914,0.5067847,0.8574455
638203563287644396,870593,73068,0.2003937,0.1232452,0.9719238,0.1851807,0.1143494,0.9760132,0.1020272,0.502852,0.85833
638203563287734396,870602,73069,0.2486877,0.09490967,0.963913,0.2169952,0.0660553,0.9739227,0.1197582,0.4955089,0.8603075
638203563287814396,870610,73069,0.2869873,0.07693481,0.954834,0.2636108,0.03160095,0.9640961,0.1197582,0.4955089,0.8603075
638203563287894394,870618,73070,0.3323364,0.04902649,0.9418793,0.2905426,0.01074219,0.9567871,0.1406975,0.4868219,0.8620955
638203563287974430,870626,73071,0.3619995,0.009735107,0.9321136,0.322113,-0.02426147,0.9463806,0.1631652,0.4776404,0.863271
638203563288064428,870635,73072,0.3879242,0.0006103516,0.9216766,0.3584137,-0.03909302,0.932724,0.1901016,0.4655267,0.8643762
638203563288144467,870643,73072,0.410965,-0.02326965,0.9113464,0.3808746,-0.06091309,0.9226074,0.1901016,0.4655267,0.8643762
638203563288224466,870651,73073,0.441391,-0.05328369,0.8957214,0.4047089,-0.09429932,0.9095612,0.2183266,0.4527791,0.8644794
