time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638524908554770143,324430,24101,-0.014328,0.1362305,0.9905701,0.001739502,0.1767731,0.9842377,-0.02229234,0.1485243,0.9886575,
638524908554860149,324439,24102,-0.01457214,0.1366272,0.990509,0.004501343,0.1757355,0.9844208,-0.02243157,0.1491274,0.9885635,
638524908554940164,324447,24103,-0.0146637,0.1372375,0.9904175,0.0052948,0.1751709,0.9845123,-0.02278069,0.1499389,0.9884328,
638524908555020139,324455,24103,-0.01487732,0.138031,0.9903107,0.006271362,0.1751862,0.9845123,-0.02278069,0.1499389,0.9884328,
638524908555110135,324464,24104,-0.01428223,0.1373444,0.9904175,0.007080078,0.1748505,0.9845581,-0.02292186,0.1504039,0.9883589,
638524908555180161,324471,24105,-0.01379395,0.137207,0.9904327,0.007171631,0.1740265,0.9847107,-0.02319035,0.1509037,0.9882764,
638524908555260138,324479,24106,-0.01379395,0.1379395,0.9903412,0.007278442,0.1732025,0.984848,-0.02315632,0.1515893,0.9881723,
638524908555350139,324488,24106,-0.0138092,0.1387177,0.9902191,0.006668091,0.1723328,0.9850006,-0.02315632,0.1515893,0.9881723,
638524908555430138,324496,24107,-0.01516724,0.1396484,0.9900818,0.006057739,0.171463,0.9851685,-0.02349427,0.1521377,0.98808,
638524908555510144,324504,24108,-0.01394653,0.1364594,0.9905396,0.005371094,0.1714478,0.9851685,-0.02354807,0.1526596,0.9879982,
638524908555610156,324514,24109,-0.01132202,0.1378784,0.9903717,0.005325317,0.1707306,0.9852905,-0.02351248,0.152848,0.9879699,
638524908555680138,324521,24109,-0.001846313,0.1420135,0.9898529,0.007659912,0.1706543,0.9852905,-0.02351248,0.152848,0.9879699,
638524908555770143,324530,24110,-0.001296997,0.1439056,0.9895782,0.01733398,0.164505,0.9862213,-0.02365224,0.1530847,0.98793,
638524908555860149,324539,24111,-0.009658813,0.147995,0.9889374,0.01580811,0.1638184,0.9863586,-0.0234751,0.1536506,0.9878464,
638524908555930145,324546,24112,-0.004745483,0.1524658,0.9882813,0.0178833,0.167923,0.9856262,-0.02303373,0.1548104,0.9876757,
638524908556010135,324554,24112,-0.005508423,0.1556244,0.987793,0.009979248,0.1622162,0.9866943,-0.02303373,0.1548104,0.9876757,
638524908556100138,324563,24113,-0.009109497,0.149765,0.988678,0.003189087,0.1523285,0.9883118,-0.02274086,0.156305,0.987447,
638524908556180164,324571,24114,-0.001068115,0.1567535,0.9876251,0.00491333,0.1602325,0.9870605,-0.02333211,0.1582613,0.9871216,
638524908556270143,324580,24115,-0.009216309,0.1574554,0.9874725,0.007980347,0.1602783,0.98703,-0.02386295,0.159638,0.9868872,
