time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638524907694520948,238405,16358,-0.007095337,0.1720734,0.9850464,0.001724243,0.1693115,0.9855499,-0.01141876,0.1236463,0.9922606,
638524907694610956,238414,16359,-0.007034302,0.1720428,0.9850616,-0.00579834,0.1642456,0.9863892,-0.01108878,0.1229353,0.9923527,
638524907694700970,238423,16360,-0.006988525,0.1720886,0.9850464,-0.002700806,0.1790924,0.9838257,-0.01059425,0.1224126,0.9924228,
638524907694770956,238430,16361,-0.007003784,0.1730042,0.9848938,-0.002410889,0.1720276,0.9850769,-0.009786336,0.1233058,0.9923205,
638524907694860945,238439,16361,-0.006988525,0.1721344,0.9850464,-0.00390625,0.1704407,0.9853516,-0.009786336,0.1233058,0.9923205,
638524907694940939,238447,16362,-0.00390625,0.1719971,0.9850769,-0.002258301,0.1698761,0.9854584,-0.009095131,0.1242446,0.99221,
638524907695030948,238456,16363,-0.006072998,0.1710968,0.9852295,0.0009613037,0.1702728,0.9853821,-0.008000594,0.1245771,0.9921777,
638524907695120952,238465,16364,-0.01457214,0.1814423,0.9832916,0.0001678467,0.1809082,0.98349,-0.008053402,0.1250809,0.9921139,
638524907695190961,238472,16364,-0.02073669,0.1732483,0.9846497,-0.0115509,0.1743317,0.9846039,-0.008053402,0.1250809,0.9921139,
638524907695270940,238480,16365,-0.01780701,0.1735687,0.9846497,-0.004074097,0.1810303,0.9834595,-0.008908752,0.1256458,0.9920352,
638524907695370948,238490,16366,-0.0214386,0.1838226,0.9827118,-0.006469727,0.1801147,0.9836121,-0.01024929,0.1257065,0.9920145,
638524907695440946,238497,16367,-0.02729797,0.1842957,0.9824829,-0.005950928,0.1772919,0.9841309,-0.01091095,0.1255188,0.9920312,
638524907695520941,238505,16367,-0.02326965,0.1830597,0.9828186,-0.01176453,0.1733704,0.9847717,-0.01091095,0.1255188,0.9920312,
638524907695610940,238514,16368,-0.03172302,0.1807556,0.9830017,-0.0007629395,0.1768799,0.9842224,-0.01122124,0.1252368,0.9920634,
638524907695690948,238522,16369,-0.02323914,0.1838531,0.982666,-0.007476807,0.1759338,0.9843597,-0.01108715,0.1251069,0.9920813,
638524907695770944,238530,16370,-0.02175903,0.1820374,0.9830475,-0.01565552,0.1809387,0.9833527,-0.01068457,0.1254792,0.9920387,
638524907695860958,238539,16370,-0.02122498,0.1731262,0.9846649,-0.003631592,0.1744232,0.9846497,-0.01068457,0.1254792,0.9920387,
638524907695940943,238547,16371,-0.02737427,0.1861572,0.982132,-0.005340576,0.1797028,0.9837036,-0.01059836,0.1258163,0.9919969,
638524907696030959,238556,16372,-0.02305603,0.1784668,0.9836731,-0.01168823,0.1749725,0.9844971,-0.01147158,0.1263667,0.9919173,
638524907696120944,238565,16373,-0.02326965,0.187561,0.9819641,-0.0151062,0.1662292,0.9859619,-0.01238289,0.1263153,0.9919128,
638524907696190963,238572,16373,-0.008865356,0.1823578,0.9831848,-0.003097534,0.1748505,0.9845886,-0.01238289,0.1263153,0.9919128,
638524907696270937,238580,16374,-0.0202179,0.1858521,0.9823608,0.001693726,0.1751251,0.9845276,-0.01352614,0.1256839,0.9919781,
638524907696360962,238589,16375,-0.01332092,0.168808,0.9855499,-0.003234863,0.1737671,0.9847717,-0.01324683,0.1250506,0.9920619,
638524907696440958,238597,16376,-0.02755737,0.1860199,0.9821472,-0.00050354,0.1786652,0.983902,-0.01271088,0.1249652,0.9920797,
