time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638503290681504163,1321579,115398,-0.01493835,0.1575623,0.987381,-0.02154541,0.1016846,0.9945679,0.04297393,0.200711,0.9787075,
638503290681584158,1321587,115399,-0.01560974,0.1560059,0.9876251,-0.02157593,0.1018677,0.9945526,0.04287362,0.200671,0.9787201,
638503290681674162,1321596,115400,-0.01571655,0.153656,0.9879913,-0.02186584,0.102005,0.9945374,0.04290505,0.2005134,0.978751,
638503290681764159,1321605,115401,-0.01564026,0.1531372,0.9880676,-0.02198792,0.1025696,0.9944763,0.04295612,0.2003659,0.978779,
638503290681834163,1321612,115402,-0.01571655,0.1550903,0.9877625,-0.02272034,0.1021729,0.9944916,0.04279597,0.2001922,0.9788215,
638503290681924169,1321621,115402,-0.01628113,0.1561737,0.9875946,-0.02256775,0.1046753,0.9942474,0.04279597,0.2001922,0.9788215,
638503290682004161,1321629,115403,-0.01591492,0.1546021,0.9878387,-0.0222168,0.1038361,0.994339,0.04290089,0.2000654,0.9788429,
638503290682094159,1321638,115404,-0.01522827,0.1557312,0.9876709,-0.02256775,0.103302,0.9943848,0.04260675,0.2001927,0.9788297,
638503290682184168,1321647,115405,-0.01496887,0.155777,0.9876709,-0.0226593,0.1028442,0.9944305,0.04254238,0.200099,0.9788516,
638503290682254166,1321654,115405,-0.01483154,0.155426,0.9877319,-0.02284241,0.102356,0.9944763,0.04254238,0.200099,0.9788516,
638503290682354162,1321664,115406,-0.01483154,0.155899,0.9876556,-0.02227783,0.1018372,0.9945374,0.042867,0.1998325,0.9788919,
638503290682434151,1321672,115407,-0.0151062,0.1521912,0.9882355,-0.0223999,0.102417,0.9944763,0.04325873,0.1994022,0.9789624,
638503290682504156,1321679,115407,-0.0148468,0.1513062,0.9883728,-0.02223206,0.1020813,0.9945221,0.04325873,0.1994022,0.9789624,
638503290682584162,1321687,115408,-0.0148468,0.1511688,0.9883881,-0.02165222,0.1026764,0.9944763,0.04364118,0.1991078,0.9790054,
638503290682674170,1321696,115409,-0.01365662,0.1509857,0.9884338,-0.02178955,0.101181,0.9946289,0.04388556,0.1985381,0.9791102,
638503290682754161,1321704,115410,-0.0118866,0.1509247,0.9884644,-0.02209473,0.1005096,0.9946747,0.04414625,0.1980913,0.9791889,
638503290682834175,1321712,115411,-0.01170349,0.1510468,0.9884491,-0.02212524,0.1006317,0.9946747,0.04424902,0.1976233,0.9792789,
638503290682924168,1321721,115411,-0.0116272,0.1521606,0.9882813,-0.02210999,0.1004181,0.9946899,0.04424902,0.1976233,0.9792789,
638503290683004155,1321729,115412,-0.01121521,0.1530914,0.9881439,-0.0221405,0.1003571,0.9946899,0.04444489,0.197177,0.9793599,
638503290683094159,1321738,115413,-0.0125885,0.1526947,0.9881897,-0.0221405,0.1007385,0.9946594,0.04443684,0.1968298,0.9794301,
638503290683184161,1321747,115414,-0.0136261,0.1531982,0.9880981,-0.02267456,0.1004181,0.9946747,0.04461937,0.1966481,0.9794583,
638503290683254166,1321754,115414,-0.02076721,0.1600342,0.9868774,-0.0274353,0.1044464,0.9941406,0.04461937,0.1966481,0.9794583,
638503290683344151,1321763,115415,-0.01647949,0.1986847,0.9799194,-0.02708435,0.1496582,0.9883575,0.04453879,0.1966525,0.9794611,
638503290683434158,1321772,115416,-0.003677368,0.2705231,0.9626923,-0.02705383,0.2459412,0.9689026,0.04441133,0.1972542,0.9793459,
