time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638503284457532733,699181,59363,-0.009490967,0.130188,0.9914398,-0.01786804,0.08557129,0.99617,0.03768692,0.2137184,0.9761681,
638503284457612734,699189,59364,-0.01026917,0.1303558,0.9914093,-0.0184021,0.08564758,0.9961395,0.03763891,0.2135639,0.9762037,
638503284457692725,699197,59365,-0.009994507,0.1314087,0.991272,-0.01844788,0.08613586,0.996109,0.03762815,0.2136128,0.9761935,
638503284457792726,699207,59366,-0.01072693,0.1311646,0.9912872,-0.01855469,0.08573914,0.9961395,0.03759471,0.2134778,0.9762243,
638503284457862734,699214,59367,-0.01049805,0.1312103,0.9912872,-0.0188446,0.08656311,0.9960632,0.03722697,0.2132478,0.9762887,
638503284457942736,699222,59367,-0.01101685,0.1314545,0.9912567,-0.01976013,0.08750916,0.9959564,0.03722697,0.2132478,0.9762887,
638503284458032723,699231,59368,-0.01036072,0.1321564,0.9911652,-0.02000427,0.087677,0.9959412,0.03729985,0.2131457,0.9763082,
638503284458122730,699240,59369,-0.01148987,0.1325073,0.9911041,-0.01931763,0.08781433,0.9959412,0.03730763,0.2128638,0.9763694,
638503284458192732,699247,59370,-0.01148987,0.1319733,0.9911804,-0.01887512,0.0874176,0.9959869,0.03713894,0.2126688,0.9764183,
638503284458282731,699256,59370,-0.01150513,0.1323395,0.9911346,-0.01895142,0.08778381,0.9959564,0.03713894,0.2126688,0.9764183,
638503284458362724,699264,59371,-0.01152039,0.133606,0.9909668,-0.01890564,0.08773804,0.9959564,0.03726579,0.2125252,0.9764447,
638503284458442737,699272,59372,-0.01144409,0.1343079,0.99086,-0.01716614,0.08766174,0.9959869,0.03715806,0.2122704,0.9765043,
638503284458542733,699282,59373,-0.01145935,0.1353149,0.9907227,-0.01737976,0.08790588,0.9959717,0.036998,0.212082,0.9765512,
638503284458622724,699290,59373,-0.01147461,0.1353455,0.9907227,-0.01754761,0.08827209,0.9959412,0.036998,0.212082,0.9765512,
638503284458702724,699298,59374,-0.01184082,0.1352997,0.9907227,-0.01731873,0.08935547,0.9958344,0.03703131,0.2120882,0.9765487,
638503284458792732,699307,59375,-0.01211548,0.1352234,0.9907379,-0.01742554,0.08938599,0.9958344,0.03709204,0.2121622,0.9765303,
638503284458872737,699315,59376,-0.01222229,0.1342773,0.99086,-0.01707458,0.08926392,0.9958496,0.03730205,0.2122149,0.9765108,
