time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638549105905708164,1483372,120088,0.005554199,0.2463379,0.969162,0.01347351,0.3161469,0.9486084,-0.02909373,-0.04384301,0.9986147,
638549105905793232,1483381,120089,0.006118774,0.247467,0.9688721,0.01400757,0.3169098,0.9483337,-0.02908339,-0.04372174,0.9986203,
638549105905863240,1483388,120090,0.006072998,0.2482147,0.9686737,0.014328,0.3169098,0.9483337,-0.02899776,-0.04366192,0.9986255,
638549105905963230,1483398,120091,0.006530762,0.2479706,0.9687347,0.01405334,0.3178558,0.9480286,-0.02891229,-0.04355578,0.9986326,
638549105906038321,1483405,120092,0.006469727,0.2478638,0.9687653,0.01408386,0.3179626,0.9479828,-0.02884132,-0.04351173,0.9986365,
638549105906108312,1483412,120092,0.006408691,0.2483368,0.9686432,0.01426697,0.3178101,0.9480286,-0.02884132,-0.04351173,0.9986365,
638549105906198319,1483421,120093,0.006378174,0.2491302,0.9684448,0.01420593,0.3182373,0.9478912,-0.02876246,-0.04342509,0.9986426,
638549105906288329,1483430,120094,0.00769043,0.2487793,0.9685211,0.01460266,0.3181305,0.9479218,-0.02872418,-0.04342615,0.9986436,
638549105906368325,1483438,120095,0.007705688,0.2493439,0.9683685,0.0148468,0.3169098,0.9483337,-0.0287914,-0.04353363,0.998637,
638549105906448316,1483446,120095,0.006790161,0.2474976,0.9688568,0.01516724,0.3159943,0.9486237,-0.0287914,-0.04353363,0.998637,
638549105906538316,1483455,120096,0.008132935,0.2474823,0.9688568,0.01524353,0.3175354,0.9481201,-0.02867372,-0.0435986,0.9986376,
638549105906628317,1483464,120097,0.008087158,0.2512054,0.9678955,0.01527405,0.3171997,0.9482269,-0.02867115,-0.0435903,0.998638,
638549105906708309,1483472,120098,0.008331299,0.2516022,0.9677887,0.01516724,0.316864,0.9483337,-0.02860854,-0.04360302,0.9986392,
638549105906793409,1483481,120098,0.008468628,0.2507782,0.9680023,0.01516724,0.3163452,0.9485168,-0.02860854,-0.04360302,0.9986392,
638549105906873407,1483489,120099,0.008453369,0.2501984,0.9681549,0.01531982,0.3162231,0.9485474,-0.02870721,-0.04369926,0.9986322,
638549105906963413,1483498,120100,0.008453369,0.2519989,0.9676819,0.01524353,0.3159332,0.9486542,-0.02866032,-0.04354346,0.9986404,
638549105907043400,1483506,120101,0.00843811,0.2516937,0.9677582,0.01524353,0.3159943,0.9486237,-0.02878418,-0.04374318,0.9986281,
638549105907123407,1483514,120101,0.007736206,0.2515259,0.967804,0.01498413,0.315567,0.9487762,-0.02878418,-0.04374318,0.9986281,
638549105907203405,1483522,120102,0.007873535,0.2547455,0.9669647,0.01499939,0.3148193,0.9490204,-0.02893804,-0.04391005,0.9986163,
638549105907293398,1483531,120103,0.008041382,0.2539978,0.9671631,0.01486206,0.314743,0.9490509,-0.02888059,-0.04406786,0.998611,
638549105907363399,1483538,120104,0.008377075,0.2543182,0.9670715,0.0146637,0.3139343,0.9493256,-0.029136,-0.04453381,0.9985829,
638549105907453409,1483547,120104,0.008026123,0.2539673,0.9671631,0.01457214,0.3135223,0.9494629,-0.029136,-0.04453381,0.9985829,
638549105907533405,1483555,120105,0.007400513,0.2535553,0.9672852,0.01428223,0.314682,0.9490814,-0.02911065,-0.04463684,0.998579,
638549105907613704,1483563,120106,0.007949829,0.2532806,0.9673462,0.01461792,0.314682,0.9490814,-0.02903315,-0.04462245,0.9985819,
638549105907703683,1483572,120107,0.008407593,0.2524261,0.9675751,0.01431274,0.3139648,0.9493103,-0.02903395,-0.04473016,0.9985771,
638549105907793682,1483581,120107,0.008499146,0.2511444,0.9678955,0.01490784,0.3134918,0.9494629,-0.02903395,-0.04473016,0.9985771,
638549105907863682,1483588,120108,0.008956909,0.2532196,0.9673615,0.01461792,0.3124695,0.9497986,-0.0289731,-0.04490196,0.9985712,
638549105907953699,1483597,120109,0.00894165,0.2531281,0.9673767,0.01463318,0.3132935,0.9495392,-0.02907902,-0.04472218,0.9985762,
638549105908033700,1483605,120110,0.02789307,0.2327881,0.9721222,0.03985596,0.3099976,0.9498901,-0.02917766,-0.04479825,0.9985698,
638549105908123690,1483614,120110,0.08039856,0.1915131,0.9781799,0.09103394,0.2622223,0.9606934,-0.02917766,-0.04479825,0.9985698,
638549105908203689,1483622,120111,0.1171112,0.1625519,0.9797211,0.1320038,0.2184601,0.9668732,-0.02893522,-0.0446984,0.9985814,
638549105908293691,1483631,120112,0.168808,0.1156769,0.9788208,0.1829681,0.1793976,0.9665985,-0.02919971,-0.04480292,0.998569,
638549105908373688,1483639,120113,0.2121887,0.07402039,0.974411,0.2375946,0.1427612,0.9608002,-0.02877462,-0.0447391,0.9985842,
638549105908463681,1483648,120113,0.2477722,0.05331421,0.9673462,0.2912903,0.1048431,0.9508667,-0.02877462,-0.0447391,0.9985842,
638549105908538812,1483655,120114,0.2856903,0.01005554,0.9582672,0.3316193,0.07142639,0.9406891,-0.02851804,-0.04480569,0.9985886,
638549105908628815,1483664,120115,0.3222809,-0.01187134,0.9465637,0.3896332,0.04385376,0.9199066,-0.02846254,-0.04480164,0.9985904,
638549105908708808,1483672,120116,0.3520355,-0.03019714,0.9354858,0.4092255,0.02154541,0.9121704,-0.02810882,-0.04503915,0.9985897,
638549105908788816,1483680,120116,0.3742371,-0.03800964,0.9265442,0.427002,-0.0009765625,0.9042358,-0.02810882,-0.04503915,0.9985897,
638549105908863964,1483688,120117,0.397995,-0.06019592,0.9154053,0.4483643,-0.02294922,0.8935394,-0.0277317,-0.04495773,0.9986039,
638549105908943919,1483696,120118,0.4032745,-0.06481934,0.9127655,0.4688263,-0.02740479,0.8828583,-0.02738647,-0.04490092,0.998616,
638549105909043927,1483706,120119,0.3955841,-0.06303406,0.9162445,0.4628754,-0.02482605,0.8860626,-0.02687819,-0.04444839,0.99865,
638549105909123931,1483714,120119,0.3937073,-0.06399536,0.9169922,0.4646759,-0.03364563,0.8848267,-0.02687819,-0.04444839,0.99865,
638549105909193915,1483721,120120,0.3988953,-0.0657959,0.9146118,0.461319,-0.0295105,0.886734,-0.0265993,-0.04411444,0.9986723,
638549105909283928,1483730,120121,0.3972168,-0.06694031,0.9152679,0.4613647,-0.02923584,0.8867188,-0.02601654,-0.04396784,0.9986941,
638549105909363929,1483738,120122,0.4006958,-0.06561279,0.9138489,0.461731,-0.02919006,0.8865204,-0.02560724,-0.04378636,0.9987127,
638549105909443920,1483746,120122,0.3949585,-0.06642151,0.9162903,0.4617615,-0.02885437,0.8865204,-0.02560724,-0.04378636,0.9987127,
638549105909523917,1483754,120123,0.3960114,-0.06356812,0.9160309,0.4618835,-0.02854919,0.8864746,-0.02515387,-0.04367575,0.9987291,
638549105909618998,1483763,120124,0.3957214,-0.06370544,0.9161377,0.4607391,-0.02973938,0.8870239,-0.02497871,-0.04339839,0.9987456,
638549105909688993,1483770,120124,0.3959656,-0.0662384,0.915863,0.4595795,-0.03100586,0.8875885,-0.02497871,-0.04339839,0.9987456,
638549105909788992,1483780,120125,0.3956451,-0.06376648,0.9161682,0.4595947,-0.03009033,0.8876038,-0.02511073,-0.04314054,0.9987534,
638549105909858990,1483787,120126,0.3913116,-0.06515503,0.9179382,0.4596252,-0.02915955,0.887619,-0.02517415,-0.04323274,0.9987478,
638549105909954117,1483797,120127,0.3933868,-0.06893921,0.9167786,0.4515839,-0.02770996,0.8917847,-0.02549026,-0.04330594,0.9987366,
638549105910034117,1483805,120128,0.3630066,-0.08029175,0.9283142,0.4254913,-0.0308075,0.9044342,-0.02615022,-0.04333386,0.9987183,
638549105910114108,1483813,120128,0.2849426,-0.1078644,0.9524384,0.3367462,-0.0607605,0.939621,-0.02615022,-0.04333386,0.9987183,
638549105910204106,1483822,120129,0.2232971,-0.1197968,0.9673462,0.2529449,-0.0740509,0.9646301,-0.02734735,-0.04352212,0.9986781,
638549105910294121,1483831,120130,0.1677704,-0.1237488,0.9780121,0.1873322,-0.104599,0.9766998,-0.02844705,-0.04361209,0.9986435,
638549105910364106,1483838,120130,0.1100464,-0.1405182,0.9839325,0.1203918,-0.106369,0.9869995,-0.02844705,-0.04361209,0.9986435,
638549105910454118,1483847,120131,0.03971863,-0.149765,0.987915,0.05615234,-0.160202,0.9854736,-0.03043568,-0.04390709,0.9985719,
638549105910524127,1483854,120132,-0.00378418,-0.1521912,0.9883423,0.01760864,-0.1824341,0.9830475,-0.03315798,-0.04455593,0.9984565,
638549105910614344,1483863,120133,0,0,0,-0.01599121,-0.3182373,0.9478607,-0.03679733,-0.04508311,0.9983053,
638549105910684349,1483870,120133,0,0,0,0,0,0,-0.03679733,-0.04508311,0.9983053,
638549105910774351,1483879,120134,0,0,0,0,0,0,-0.04154462,-0.04585381,0.9980839,
