time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638549102208128512,1113614,86811,-0.1334076,0.1780548,0.9749298,-0.1254883,0.1879272,0.9741211,0.1113891,0.07527155,0.9909222,
638549102208208500,1113622,86812,-0.1281281,0.1870117,0.9739532,-0.1216888,0.1830597,0.9755402,0.1115944,0.07521573,0.9909033,
638549102208303590,1113632,86813,-0.1310577,0.1903839,0.9729156,-0.123642,0.1978302,0.9723969,0.1118758,0.07484124,0.9908999,
638549102208383600,1113640,86814,-0.1334534,0.196106,0.9714508,-0.1161499,0.2019043,0.9724884,0.1122119,0.07472636,0.9908705,
638549102208453590,1113647,86814,-0.1295166,0.1837616,0.9743958,-0.1177673,0.1872711,0.9752197,0.1122119,0.07472636,0.9908705,
638549102208543593,1113656,86815,-0.1243896,0.1912994,0.9736023,-0.1200867,0.1911163,0.9741821,0.1125169,0.07429998,0.990868,
638549102208633600,1113665,86816,-0.1303253,0.1932068,0.9724579,-0.1151581,0.2007446,0.9728394,0.1126434,0.07398331,0.9908773,
638549102208723602,1113674,86817,-0.1281891,0.1884613,0.9736633,-0.1174164,0.1906586,0.9745941,0.112784,0.07363629,0.9908872,
638549102208793595,1113681,86818,-0.1315002,0.1898346,0.9729614,-0.1177063,0.2096558,0.9706573,0.1129566,0.07334991,0.9908888,
638549102208878685,1113689,86818,-0.1312256,0.1859741,0.9737396,-0.1182556,0.2092896,0.9706726,0.1129566,0.07334991,0.9908888,
638549102208963847,1113698,86819,-0.1321411,0.1790619,0.9749146,-0.1161499,0.204895,0.9718628,0.1131589,0.07290957,0.9908982,
638549102209053805,1113707,86820,-0.1334839,0.1843567,0.9737396,-0.1156006,0.2079468,0.9712677,0.113062,0.07235952,0.9909496,
638549102209123809,1113714,86820,-0.1315613,0.1879883,0.9733124,-0.1192932,0.2064667,0.9711456,0.113062,0.07235952,0.9909496,
638549102209213809,1113723,86821,-0.1279297,0.1923828,0.9729309,-0.1274109,0.2075653,0.9698792,0.1133609,0.07206635,0.9909368,
638549102209293800,1113731,86822,-0.1282959,0.1950378,0.9723511,-0.1243439,0.206543,0.9704895,0.1131413,0.07170139,0.9909884,
638549102209383797,1113740,86823,-0.1248169,0.1931458,0.9731903,-0.1270752,0.2066956,0.970108,0.1131271,0.0715179,0.9910033,
638549102209473798,1113749,86824,-0.1143188,0.1964874,0.9738159,-0.1247711,0.2054749,0.9706726,0.1127515,0.07140922,0.9910539,
638549102209543799,1113756,86824,-0.1201935,0.1963806,0.9731293,-0.1224365,0.2052765,0.9710083,0.1127515,0.07140922,0.9910539,
638549102209633801,1113765,86825,-0.122345,0.1968384,0.9727631,-0.1224365,0.2077484,0.9704742,0.1123671,0.07149299,0.9910915,
638549102209723811,1113774,86826,-0.1222992,0.1980591,0.9725189,-0.1224213,0.2105408,0.9698792,0.1119902,0.07137287,0.9911428,
638549102209793804,1113781,86827,-0.1222534,0.1992645,0.9722748,-0.1231079,0.2101288,0.9698792,0.1114362,0.0711955,0.991218,
638549102209873804,1113789,86827,-0.1223602,0.198288,0.9724579,-0.1229401,0.209549,0.9700317,0.1114362,0.0711955,0.991218,
638549102209963798,1113798,86828,-0.1112213,0.2054291,0.9723206,-0.1173096,0.2068024,0.9713135,0.1109784,0.07091401,0.9912896,
638549102210043823,1113806,86829,-0.09236145,0.1958466,0.9762726,-0.08764648,0.2023315,0.9753723,0.1105756,0.07057795,0.9913586,
638549102210133794,1113815,86830,-0.02375793,0.2028198,0.9789124,-0.02592468,0.1997986,0.9794922,0.1102649,0.07006347,0.9914296,
638549102210213804,1113823,86830,0.04086304,0.1971741,0.9795074,0.03898621,0.2014465,0.978714,0.1102649,0.07006347,0.9914296,
638549102210293802,1113831,86831,0.1014404,0.1975098,0.9750214,0.09194946,0.2141876,0.9724426,0.110011,0.06986073,0.9914722,
638549102210373804,1113839,86832,0.1557007,0.1946411,0.9684296,0.1533051,0.2245331,0.962326,0.1098993,0.06956345,0.9915054,
638549102210453803,1113847,86832,0.1997223,0.1902924,0.9611816,0.1982422,0.2389069,0.9505768,0.1098993,0.06956345,0.9915054,
638549102210543795,1113856,86833,0.2315521,0.1919556,0.9536896,0.2335968,0.234787,0.9435577,0.1097072,0.06921857,0.9915509,
638549102210633800,1113865,86834,0.2497406,0.1918335,0.9491119,0.2632446,0.2272949,0.937561,0.1100455,0.06915187,0.991518,
638549102210713807,1113873,86835,0.2493286,0.1901093,0.9495697,0.2597961,0.2264709,0.9387207,0.1101502,0.06924004,0.9915003,
638549102210788911,1113880,86836,0.2411652,0.1950836,0.9506683,0.2587585,0.2277679,0.9386902,0.1105414,0.06929205,0.9914531,
638549102210878906,1113889,86836,0.2416077,0.1934357,0.950882,0.2579803,0.2224731,0.9401703,0.1105414,0.06929205,0.9914531,
638549102210964027,1113898,86837,0.2425842,0.1924133,0.9508514,0.2521515,0.2297058,0.9400177,0.1109759,0.06949446,0.9913903,
638549102211044025,1113906,86838,0.2462769,0.1893921,0.9505005,0.2442017,0.233551,0.9411621,0.1113222,0.06973385,0.9913347,
638549102211124042,1113914,86839,0.2463379,0.1853943,0.9512787,0.2466583,0.2291412,0.9416199,0.1120177,0.06974835,0.9912554,
638549102211214022,1113923,86839,0.2491913,0.1929779,0.9490204,0.2542725,0.2395782,0.9369812,0.1120177,0.06974835,0.9912554,
638549102211304024,1113932,86840,0.2465057,0.1971588,0.9488678,0.240097,0.2407074,0.9404297,0.1127025,0.06984156,0.9911712,
638549102211374032,1113939,86841,0.2475739,0.193634,0.9493103,0.2503662,0.233078,0.9396667,0.1134268,0.06969384,0.9910989,
638549102211459105,1113947,86842,0.2495422,0.1890717,0.949707,0.2492065,0.2286835,0.9410553,0.1142419,0.06952745,0.991017,
638549102211539473,1113955,86842,0.2474365,0.1919403,0.9496918,0.2498627,0.2312317,0.9402618,0.1142419,0.06952745,0.991017,
638549102211629368,1113964,86843,0.2498627,0.1855621,0.9503174,0.2494659,0.2187195,0.9433441,0.1151232,0.06938481,0.990925,
638549102211714439,1113973,86844,0.2465363,0.1892548,0.9504547,0.2511749,0.2269897,0.9409332,0.1162052,0.06912716,0.9908167,
638549102211799561,1113981,86845,0.2447205,0.178772,0.9529572,0.2447357,0.1945801,0.9498444,0.1170059,0.06914046,0.9907216,
638549102211874657,1113989,86845,0.2375183,0.1219025,0.9636993,0.2340088,0.150589,0.960495,0.1170059,0.06914046,0.9907216,
