time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638549097817443603,674546,54426,-0.04891968,0.3184204,0.9466858,-0.02825928,0.3824463,0.9235382,0.06840204,-0.04697335,0.9965514,
638549097817543588,674556,54427,-0.03153992,0.3069305,0.9512024,-0.02702332,0.3798523,0.9246368,0.06904159,-0.04458158,0.9966171,
638549097817613583,674563,54428,-0.05302429,0.3003082,0.9523621,-0.02648926,0.3747406,0.9267426,0.06926446,-0.04237421,0.996698,
638549097817698686,674571,54429,-0.0504303,0.3053131,0.9509125,-0.02980042,0.3766327,0.9258728,0.07000984,-0.03956724,0.9967613,
638549097817783773,674580,54430,-0.04522705,0.3110809,0.949295,-0.02500916,0.3844757,0.9227905,0.0703958,-0.03687148,0.9968374,
638549097817873772,674589,54430,-0.04933167,0.3027496,0.9517822,-0.02328491,0.3793945,0.9249268,0.0703958,-0.03687148,0.9968374,
638549097817953769,674597,54431,-0.0488739,0.3099518,0.9494781,-0.02955627,0.3801575,0.9244385,0.07089778,-0.03444404,0.9968887,
638549097818033781,674605,54432,-0.05215454,0.3031158,0.9515228,-0.03474426,0.3856506,0.9219818,0.07122495,-0.03191629,0.9969496,
638549097818123764,674614,54433,-0.05648804,0.3039246,0.951004,-0.03884888,0.3685913,0.928772,0.07190709,-0.02921893,0.9969833,
638549097818193764,674621,54433,-0.05456543,0.2987518,0.9527588,-0.04554749,0.3626556,0.9308014,0.07190709,-0.02921893,0.9969833,
638549097818283771,674630,54434,-0.05467224,0.311676,0.9486084,-0.04888916,0.3556366,0.9333344,0.07222379,-0.02662204,0.9970331,
638549097818363773,674638,54435,-0.05763245,0.3010864,0.9518433,-0.0499115,0.3478241,0.9362183,0.0727953,-0.02419306,0.9970534,
638549097818443764,674646,54436,-0.06095886,0.3084564,0.9492798,-0.04930115,0.3542175,0.9338531,0.07324148,-0.02146767,0.9970832,
638549097818533763,674655,54436,-0.05595398,0.2961121,0.9535065,-0.05441284,0.3484039,0.9357452,0.07324148,-0.02146767,0.9970832,
638549097818623770,674664,54437,-0.05500793,0.2846222,0.9570465,-0.05392456,0.3463287,0.936554,0.07369273,-0.01895107,0.9971009,
638549097818703764,674672,54438,-0.06192017,0.2884369,0.9554901,-0.05708313,0.3448181,0.9369202,0.07409127,-0.01641008,0.9971164,
638549097818783772,674680,54439,-0.06105042,0.2900085,0.9550629,-0.04626465,0.3457794,0.9371643,0.07448267,-0.01388658,0.9971256,
638549097818858849,674687,54439,-0.05743408,0.2944489,0.9539337,-0.05665588,0.3473663,0.9360046,0.07448267,-0.01388658,0.9971256,
638549097818948852,674696,54440,-0.05130005,0.2958527,0.9538422,-0.05555725,0.3375549,0.9396515,0.07466141,-0.01190172,0.9971379,
638549097819038855,674705,54441,-0.06399536,0.3018799,0.9511871,-0.05818176,0.3410339,0.9382324,0.07509332,-0.009737382,0.997129,
638549097819108848,674712,54442,-0.06271362,0.2933197,0.953949,-0.05444336,0.3296967,0.9425049,0.07550422,-0.007548803,0.9971169,
638549097819198854,674721,54442,-0.0554657,0.2810059,0.9580994,-0.05993652,0.3407745,0.9382172,0.07550422,-0.007548803,0.9971169,
638549097819288856,674730,54443,-0.05583191,0.2879639,0.9560089,-0.05203247,0.3305054,0.9423523,0.07588085,-0.00513032,0.9971037,
638549097819358847,674737,54444,-0.054245,0.2865906,0.9564972,-0.04318237,0.3298035,0.9430542,0.07629666,-0.002797647,0.9970812,
638549097819448858,674746,54445,-0.05810547,0.2943268,0.9539337,-0.04647827,0.3237457,0.9449921,0.07679565,-0.000727582,0.9970466,
638549097819528846,674754,54445,-0.05877686,0.2830505,0.9572906,-0.04679871,0.3280945,0.9434662,0.07679565,-0.000727582,0.9970466,
638549097819618849,674763,54446,-0.06391907,0.2825165,0.9571228,-0.04179382,0.3240051,0.9451294,0.07725756,0.00146102,0.9970101,
638549097819698864,674771,54447,-0.06616211,0.2811432,0.9573669,-0.04380798,0.3157959,0.9477997,0.07776779,0.003302336,0.996966,
638549097819788847,674780,54448,-0.06602478,0.2783356,0.9582062,-0.04370117,0.3270416,0.943985,0.07850178,0.00567985,0.9968978,
638549097819858850,674787,54448,-0.0589447,0.2879333,0.9558258,-0.04629517,0.3272858,0.9437866,0.07850178,0.00567985,0.9968978,
638549097819948849,674796,54449,-0.05130005,0.282608,0.9578552,-0.03839111,0.3447113,0.937912,0.07922667,0.007552019,0.996828,
638549097820038846,674805,54450,-0.05667114,0.2951508,0.9537506,-0.03450012,0.3394318,0.9399872,0.0798476,0.009506718,0.9967617,
638549097820108860,674812,54451,-0.04652405,0.3141632,0.9482117,-0.03205872,0.3713989,0.9279022,0.08082195,0.0111565,0.9966661,
638549097820198853,674821,54451,-0.05375671,0.3273773,0.9433594,-0.01899719,0.3827209,0.9236603,0.08082195,0.0111565,0.9966661,
638549097820288853,674830,54452,-0.05648804,0.3338776,0.940918,-0.03060913,0.3989868,0.9164276,0.08150078,0.01318251,0.9965861,
638549097820358856,674837,54453,-0.05055237,0.3365936,0.9402771,-0.02806091,0.4034424,0.914566,0.08226331,0.01525048,0.9964939,
638549097820458846,674847,54454,-0.04716492,0.3301697,0.9427338,-0.008972168,0.412262,0.9110107,0.08338599,0.01745229,0.9963645,
638549097820538848,674855,54454,-0.03634644,0.3466644,0.9372711,-0.03411865,0.4107513,0.9111023,0.08338599,0.01745229,0.9963645,
638549097820608846,674862,54455,-0.04377747,0.3582306,0.9326019,-0.03436279,0.4096985,0.9115601,0.08439657,0.01951036,0.9962412,
638549097820708847,674872,54456,-0.0463562,0.3430328,0.9381714,-0.0324707,0.3967896,0.9173279,0.08541907,0.02184232,0.9961057,
638549097820778863,674879,54457,-0.04685974,0.344162,0.9377289,-0.03651428,0.3975677,0.9168396,0.08652226,0.02390496,0.9959631,
638549097820858851,674887,54457,-0.0473938,0.3452759,0.9372864,-0.02436829,0.3946228,0.9185028,0.08652226,0.02390496,0.9959631,
638549097820948846,674896,54458,-0.04711914,0.3447723,0.9375,-0.02516174,0.3923645,0.9194489,0.08766043,0.02610142,0.9958084,
638549097821028871,674904,54459,-0.04670715,0.3461304,0.9370117,-0.02301025,0.3928986,0.919281,0.08881503,0.02855245,0.9956388,
638549097821108864,674912,54460,-0.04879761,0.3452454,0.9372406,-0.02183533,0.394043,0.9188232,0.08996926,0.03066185,0.9954724,
