time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638549094533391711,346140,24871,0.205658,0.128952,0.9700775,0.23526,0.1625061,0.9582367,-0.2432616,0.1413224,0.9596102,
638549094533466812,346148,24873,0.2133331,0.1319885,0.9680176,0.2338409,0.178894,0.955658,-0.2414442,0.1458849,0.9593864,
638549094533546812,346156,24873,0.214447,0.1281281,0.9682922,0.2328033,0.1801758,0.9556732,-0.2414442,0.1458849,0.9593864,
638549094533626818,346164,24874,0.2199554,0.1192932,0.9681854,0.2481689,0.175293,0.952713,-0.2405255,0.1486545,0.959192,
638549094533716814,346173,24875,0.2218781,0.1148071,0.968277,0.2448273,0.1937714,0.9499969,-0.2394102,0.1514103,0.95904,
638549094533786818,346180,24875,0.2192688,0.1154175,0.9687958,0.227829,0.1741638,0.9579926,-0.2394102,0.1514103,0.95904,
638549094533876815,346189,24876,0.2031708,0.1122894,0.9726715,0.2209167,0.1854553,0.957489,-0.2379997,0.1542503,0.9589385,
638549094533956813,346197,24877,0.2035828,0.1142426,0.9723663,0.2358551,0.1646881,0.9577179,-0.236441,0.1569851,0.9588802,
638549094534046816,346206,24878,0.2068329,0.1173096,0.9713135,0.2152557,0.1652222,0.9624634,-0.2346461,0.1593112,0.9589375,
638549094534126812,346214,24879,0.2158356,0.11586,0.9695282,0.2234802,0.1633148,0.9609222,-0.2328077,0.1616257,0.9589983,
638549094534216813,346223,24879,0.2042847,0.1100311,0.972702,0.2312927,0.1549835,0.9604492,-0.2328077,0.1616257,0.9589983,
638549094534296820,346231,24880,0.21698,0.1107178,0.9698639,0.219162,0.168045,0.9610901,-0.2307692,0.163759,0.9591291,
638549094534386835,346240,24881,0.2036743,0.1140594,0.9723663,0.2414093,0.1592102,0.9572601,-0.2285751,0.1658702,0.9592917,
638549094534461889,346247,24882,0.197937,0.1069489,0.97435,0.2362976,0.1599731,0.9584045,-0.2262355,0.1675772,0.9595496,
638549094534551896,346256,24882,0.1976318,0.1023407,0.9749146,0.2399902,0.1580811,0.9578094,-0.2262355,0.1675772,0.9595496,
638549094534631892,346264,24883,0.1984253,0.1052399,0.9744415,0.2443085,0.1553802,0.9571533,-0.2240243,0.1693599,0.9597554,
638549094534721894,346273,24884,0.1989288,0.1057129,0.9742889,0.2403717,0.1554413,0.9581451,-0.2215665,0.1704834,0.9601269,
638549094534801898,346281,24885,0.1987,0.1035461,0.9745636,0.242157,0.155899,0.9576263,-0.2190353,0.1710748,0.9606024,
638549094534891902,346290,24885,0.1986542,0.1029205,0.9746399,0.2362366,0.1580658,0.9587402,-0.2190353,0.1710748,0.9606024,
638549094534957011,346297,24886,0.1987,0.1025543,0.9746704,0.2265778,0.1596527,0.9608154,-0.2167532,0.1713131,0.9610775,
638549094535047002,346306,24887,0.1949768,0.1040192,0.9752655,0.2219391,0.1547241,0.9626923,-0.2147246,0.1707401,0.9616346,
638549094535127018,346314,24888,0.1961517,0.1046753,0.9749603,0.2336884,0.1469727,0.9611359,-0.212671,0.1699443,0.9622318,
638549094535207000,346322,24888,0.1898193,0.1042633,0.9762573,0.2134399,0.138443,0.9670868,-0.212671,0.1699443,0.9622318,
