time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638115315441479442,89315,3789,-0.01013184,-0.1155396,0.9932404,0.006210327,-0.08189392,0.9966125,0.07234623,0.3498735,0.9339992,
638115315441559174,89323,3790,-0.01014709,-0.1168671,0.9930878,0.00617981,-0.08392334,0.9964447,0.07235789,0.3498252,0.9340164,
638115315441642328,89331,3791,-0.01014709,-0.1168671,0.9930878,0.00617981,-0.08406067,0.9964294,0.07264937,0.3500891,0.9338949,
638115315441732120,89340,3791,-0.01013184,-0.1167755,0.993103,0.00617981,-0.08403015,0.9964294,0.07264937,0.3500891,0.9338949,
638115315441811758,89348,3792,-0.01010132,-0.1164398,0.9931335,0.006057739,-0.08340454,0.9964905,0.07266004,0.3499922,0.9339304,
638115315441891498,89356,3793,-0.009857178,-0.1162872,0.9931641,0.005477905,-0.08348083,0.9964905,0.07254875,0.3498825,0.9339802,
638115315441981189,89365,3794,-0.009063721,-0.1182404,0.9929352,0.004989624,-0.08364868,0.9964752,0.07287692,0.3499967,0.9339119,
638115315442060928,89373,3794,-0.00869751,-0.1181335,0.9929504,0.004547119,-0.08357239,0.9964752,0.07287692,0.3499967,0.9339119,
638115315442140663,89381,3795,-0.01126099,-0.1179352,0.9929504,0.005233765,-0.08377075,0.99646,0.07293034,0.3499481,0.9339259,
638115315442230370,89390,3796,-0.01118469,-0.1159821,0.9931793,0.005020142,-0.08366394,0.9964752,0.07323594,0.3498012,0.933957,
638115315442310096,89398,3797,-0.01094055,-0.1176453,0.992981,0.005233765,-0.08413696,0.9964294,0.07335532,0.3497443,0.9339689,
638115315442389829,89406,3797,-0.01133728,-0.1157532,0.9932098,0.005722046,-0.08486938,0.9963684,0.07335532,0.3497443,0.9339689,
638115315442479524,89415,3798,-0.01130676,-0.1159668,0.9931793,0.005462646,-0.08442688,0.9963989,0.07362622,0.3497696,0.9339381,
638115315442559259,89423,3799,-0.01185608,-0.1159363,0.9931793,0.005645752,-0.08374023,0.99646,0.0737723,0.3494617,0.9340419,
638115315442641624,89431,3800,-0.01184082,-0.1159363,0.9931793,0.005706787,-0.08361816,0.9964752,0.0740413,0.3493516,0.9340617,
638115315442731322,89440,3800,-0.01173401,-0.1159668,0.9931793,0.005187988,-0.08354187,0.9964752,0.0740413,0.3493516,0.9340617,
638115315442811054,89448,3801,-0.01164246,-0.1160736,0.9931641,0.004821777,-0.08346558,0.9964905,0.07410486,0.3492144,0.934108,
638115315442890795,89456,3802,-0.01141357,-0.1156769,0.9932098,0.004974365,-0.08375549,0.99646,0.07424594,0.3489815,0.9341838,
638115315442980484,89465,3803,-0.01119995,-0.115448,0.9932404,0.004425049,-0.08418274,0.9964294,0.07442844,0.3487688,0.9342487,
638115315443060269,89473,3803,-0.01119995,-0.1147614,0.9933167,0.003952026,-0.08381653,0.99646,0.07442844,0.3487688,0.9342487,
638115315443140002,89481,3804,-0.01039124,-0.1130219,0.9935303,0.004394531,-0.08392334,0.99646,0.0745419,0.3485134,0.934335,
638115315443229702,89490,3805,-0.01046753,-0.1131287,0.993515,0.004608154,-0.08427429,0.9964294,0.07490677,0.3482528,0.934403,
638115315443309441,89498,3806,-0.01019287,-0.1134949,0.9934845,0.0052948,-0.08447266,0.9963989,0.07508685,0.3479596,0.9344978,
638115315443389170,89506,3806,-0.007904053,-0.1131592,0.9935303,0.005493164,-0.08447266,0.9963989,0.07508685,0.3479596,0.9344978,
638115315443478871,89514,3807,0.01200867,-0.09361267,0.9955292,0.01638794,-0.08294678,0.9964142,0.07523509,0.3475306,0.9346455,
638115315443558602,89522,3808,0.04019165,-0.06559753,0.9970245,0.04507446,-0.05072021,0.9976807,0.0753921,0.3471316,0.9347811,
638115315443642079,89531,3809,0.06352234,-0.04272461,0.9970551,0.08695984,-0.02728271,0.9958344,0.07561669,0.3466754,0.9349322,
638115315443721808,89539,3809,0.07646179,-0.02020264,0.9968567,0.0941925,-0.01130676,0.9954834,0.07561669,0.3466754,0.9349322,
638115315443811514,89548,3810,0.07397461,-0.02301025,0.9969788,0.08872986,-0.02427673,0.9957581,0.0755319,0.3462298,0.9351042,
638115315443891254,89556,3811,0.0743103,-0.02519226,0.9969025,0.08122253,-0.01687622,0.9965515,0.0754734,0.3458578,0.9352466,
638115315443970985,89564,3812,0.07472229,-0.02998352,0.9967499,0.08586121,-0.01713562,0.9961548,0.07526839,0.3454647,0.9354084,
638115315444060685,89573,3812,0.07553101,-0.02844238,0.9967346,0.08848572,-0.01655579,0.9959259,0.07526839,0.3454647,0.9354084,
638115315444140415,89581,3813,0.07627869,-0.02711487,0.9967041,0.08700562,-0.01760864,0.996048,0.07516925,0.3453735,0.93545,
638115315444230114,89590,3814,0.0776825,-0.02552795,0.9966431,0.08843994,-0.01716614,0.9959259,0.07497048,0.3450635,0.9355804,
638115315444309853,89598,3815,0.07696533,-0.02424622,0.9967346,0.09014893,-0.01782227,0.9957581,0.07492778,0.3450975,0.9355713,
638115315444389581,89606,3815,0.07766724,-0.02432251,0.9966736,0.09181213,-0.0186615,0.9955902,0.07492778,0.3450975,0.9355713,
638115315444479283,89615,3816,0.07774353,-0.02467346,0.9966583,0.09109497,-0.01797485,0.9956665,0.07505953,0.3449832,0.9356028,
638115315444559016,89622,3817,0.07766724,-0.02502441,0.9966583,0.09165955,-0.01879883,0.9956055,0.07515208,0.3448514,0.935644,
638115315444638750,89630,3818,0.07759094,-0.02534485,0.9966583,0.09069824,-0.01879883,0.995697,0.07528915,0.3447057,0.9356866,
638115315444728447,89639,3818,0.07850647,-0.02497864,0.9965973,0.09103394,-0.01873779,0.9956665,0.07528915,0.3447057,0.9356866,
638115315444808182,89647,3819,0.07951355,-0.0247345,0.996521,0.09085083,-0.01873779,0.9956818,0.07529621,0.3444534,0.935779,
638115315444887922,89655,3820,0.0793457,-0.02476501,0.9965363,0.09068298,-0.01869202,0.995697,0.07553148,0.3442566,0.9358325,
638115315444987579,89665,3821,0.07928467,-0.0249176,0.9965363,0.0907135,-0.01844788,0.995697,0.07544578,0.3438002,0.9360071,
638115315445062408,89673,3821,0.07975769,-0.0249176,0.9964905,0.09059143,-0.01824951,0.9957123,0.07544578,0.3438002,0.9360071,
638115315445142147,89681,3822,0.07940674,-0.02471924,0.996521,0.09075928,-0.01838684,0.995697,0.07528359,0.3433469,0.9361866,
638115315445231843,89690,3823,0.08045959,-0.02418518,0.99646,0.0907135,-0.01864624,0.995697,0.07537847,0.3428223,0.9363711,
638115315445311579,89698,3824,0.08024597,-0.02301025,0.9965057,0.09391785,-0.01954651,0.9953766,0.07525507,0.3426786,0.9364337,
638115315445391309,89706,3824,0.09031677,-0.0173645,0.9957581,0.08705139,-0.0002441406,0.9962006,0.07525507,0.3426786,0.9364337,
638115315445471045,89714,3825,0.09611511,-0.009796143,0.9953156,0.09971619,-0.002929688,0.9950104,0.07542607,0.342553,0.9364659,
638115315445560742,89723,3826,0.09895325,-0.01008606,0.9950256,0.1044769,-0.01017761,0.9944611,0.07538778,0.342309,0.9365582,
638115315445640482,89731,3827,0.09524536,-0.006820679,0.9954224,0.108078,-0.006652832,0.9941101,0.07568327,0.3419747,0.9366565,
638115315445720208,89739,3827,0.09591675,-0.008346558,0.9953461,0.1066437,-0.005722046,0.994278,0.07568327,0.3419747,0.9366565,
638115315445809908,89748,3828,0.09620667,-0.009552002,0.9953003,0.1099854,-0.005004883,0.9939117,0.07597783,0.3414869,0.9368106,
638115315445889649,89756,3829,0.09553528,-0.01116943,0.9953613,0.1080475,-0.005432129,0.9941254,0.07635911,0.3410997,0.9369206,
638115315445979346,89765,3830,0.09541321,-0.00970459,0.9953766,0.1061096,-0.00440979,0.994339,0.07648821,0.3407993,0.9370194,
638115315446064136,89773,3830,0.09580994,-0.009246826,0.9953461,0.1070099,-0.006149292,0.9942322,0.07648821,0.3407993,0.9370194,
638115315446143873,89781,3831,0.09541321,-0.009155273,0.9953918,0.1065826,-0.005340576,0.994278,0.07664722,0.3404993,0.9371155,
638115315446233567,89790,3832,0.0957489,-0.009140015,0.9953613,0.1066132,-0.005126953,0.994278,0.07680124,0.3399861,0.9372892,
638115315446303340,89797,3833,0.09541321,-0.009155273,0.9953918,0.1065674,-0.005996704,0.994278,0.07668442,0.3397155,0.9373969,
638115315446393034,89806,3833,0.09538269,-0.00932312,0.9953918,0.1049194,-0.005752563,0.9944611,0.07668442,0.3397155,0.9373969,
638115315446472767,89814,3834,0.09533691,-0.009170532,0.9953918,0.1032715,-0.005828857,0.9946289,0.07676192,0.3394793,0.9374761,
638115315446562467,89823,3835,0.09516907,-0.009872437,0.9954071,0.1028137,-0.003829956,0.9946899,0.07646038,0.3391671,0.9376137,
638115315446642204,89831,3836,0.09501648,-0.01089478,0.9954071,0.1023407,-0.001754761,0.9947357,0.07615727,0.3394608,0.9375321,
