time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638001315080370493,101334,2977,0.003738403,0.09173584,0.9957733,0.03347778,0.09643555,0.9947662,0.02840285,0.06896871,0.9972144,
638001315080450493,101342,2978,0.00352478,0.09158325,0.9957886,0.03341675,0.09562683,0.9948425,0.02829589,0.0690842,0.9972095,
638001315080540497,101351,2979,0.003585815,0.09213257,0.9957275,0.03327942,0.09620667,0.9947968,0.02825506,0.06925224,0.9971989,
638001315080620496,101359,2980,0.003616333,0.0925293,0.995697,0.0333252,0.09576416,0.9948425,0.02816147,0.06965739,0.9971734,
638001315080700493,101367,2980,0.004257202,0.0922699,0.9957123,0.03334045,0.09550476,0.9948578,0.02816147,0.06965739,0.9971734,
638001315080790498,101376,2981,0.003753662,0.09361267,0.9955902,0.03337097,0.09527588,0.9948883,0.02794211,0.06983043,0.9971675,
638001315080870494,101384,2982,0.004333496,0.09239197,0.9957123,0.03337097,0.09469604,0.9949341,0.0279695,0.06995646,0.9971579,
638001315080950487,101392,2982,0.003814697,0.09243774,0.995697,0.03355408,0.09410095,0.9949951,0.0279695,0.06995646,0.9971579,
638001315081040495,101401,2983,0.003814697,0.09283447,0.9956665,0.03381348,0.09376526,0.9950104,0.02793439,0.07013642,0.9971462,
638001315081120494,101409,2984,0.00378418,0.09242249,0.9957123,0.03445435,0.09420776,0.9949493,0.02773966,0.07022918,0.9971451,
638001315081200502,101417,2985,0.003845215,0.09159851,0.9957733,0.03314209,0.09416199,0.9949951,0.02745063,0.07021986,0.9971538,
638001315081290498,101426,2986,0.003799438,0.09213257,0.9957275,0.03315735,0.09376526,0.9950256,0.02702135,0.07022709,0.997165,
638001315081370493,101434,2986,0.004440308,0.09181213,0.9957581,0.03318787,0.09397888,0.9950104,0.02702135,0.07022709,0.997165,
638001315081460494,101443,2987,0.006195068,0.09230042,0.995697,0.03297424,0.09391785,0.9950256,0.02660646,0.07028626,0.997172,
638001315081540494,101451,2988,0.006195068,0.09327698,0.9956055,0.03462219,0.0940094,0.9949646,0.02635404,0.0701615,0.9971874,
638001315081620497,101459,2989,0.003982544,0.09257507,0.9956818,0.03465271,0.09394836,0.9949646,0.02599771,0.07016632,0.9971965,
638001315081700493,101467,2989,0.003982544,0.09288025,0.9956665,0.03448486,0.09394836,0.9949646,0.02599771,0.07016632,0.9971965,
638001315081790497,101476,2990,0.003982544,0.09269714,0.9956818,0.03530884,0.09391785,0.9949493,0.02576943,0.06982531,0.9972264,
638001315081870502,101484,2991,0.003982544,0.09240723,0.9957123,0.03553772,0.09460449,0.994873,0.02556997,0.07007466,0.997214,
638001315081950488,101492,2991,0.003982544,0.09257507,0.995697,0.03541565,0.09388733,0.9949493,0.02556997,0.07007466,0.997214,
638001315082040493,101501,2992,0.006088257,0.0925293,0.9956818,0.03564453,0.09501648,0.9948273,0.02547983,0.06993864,0.9972258,
638001315082120496,101509,2993,0.006317139,0.09263611,0.9956665,0.0358429,0.09609985,0.9947205,0.02546539,0.0702337,0.9972055,
638001315082200495,101517,2994,0.005981445,0.09291077,0.9956512,0.03482056,0.09571838,0.9947968,0.02573602,0.07087323,0.9971533,
638001315082290490,101526,2995,0.008056641,0.09954834,0.9949951,0.02319336,0.07225037,0.9971161,0.02654882,0.07179973,0.9970657,
638001315082370493,101534,2995,0.02519226,0.067276,0.997406,0.04486084,0.0803833,0.9957428,0.02654882,0.07179973,0.9970657,
638001315082450506,101542,2996,0.09635925,0.07270813,0.9926758,0.1157379,0.08062744,0.9899902,0.02777145,0.07269056,0.9969678,
638001315082530493,101550,2997,0.1741028,0.08392334,0.9811401,0.178772,0.09910583,0.9788818,0.03002494,0.07344846,0.9968469,
638001315082620497,101559,2998,0.2275085,0.08123779,0.9703674,0.2431946,0.08363342,0.9663544,0.03244815,0.07421332,0.9967144,
638001315082700492,101567,2998,0.3041687,0.07122803,0.9499359,0.2949524,0.07835388,0.9522858,0.03244815,0.07421332,0.9967144,
638001315082780492,101575,2999,0.3751526,0.09655762,0.9219055,0.3391876,0.08143616,0.9371796,0.03590228,0.07499589,0.9965373,
638001315082870494,101584,3000,0.4268341,0.09823608,0.8989716,0.4195251,0.08065796,0.9041443,0.03999135,0.07629264,0.9962832,
638001315082950496,101592,3000,0.4693146,0.090271,0.8783875,0.482605,0.08355713,0.8718262,0.03999135,0.07629264,0.9962832,
638001315083030499,101600,3001,0.5347137,0.07185364,0.8419647,0.5054169,0.09107971,0.8580475,0.04654325,0.07770471,0.9958894,
638001315083120495,101609,3002,0.5418396,0.06668091,0.8378143,0.5187531,0.09129333,0.8500214,0.05388868,0.07913753,0.9954061,
638001315083200495,101617,3003,0.5445404,0.07061768,0.8357391,0.5172882,0.08392334,0.8516693,0.06378654,0.08082961,0.9946848,
638001315083280493,101625,3003,0.5396881,0.07200623,0.8387604,0.5078583,0.07472229,0.8581848,0.06378654,0.08082961,0.9946848,
638001315083360493,101633,3004,0.5296783,0.07189941,0.8451385,0.5027313,0.06973267,0.8616028,0.07457121,0.08200608,0.9938381,
638001315083450493,101642,3005,0.5292816,0.08042908,0.8446045,0.4978027,0.07087708,0.8643799,0.08517986,0.0832432,0.9928821,
638001315083530497,101650,3006,0.5228577,0.06666565,0.8497925,0.4963074,0.06465149,0.8657227,0.09665505,0.08455428,0.9917199,
638001315083610498,101658,3006,0.521347,0.06442261,0.8509064,0.4900208,0.06755066,0.8690796,0.09665505,0.08455428,0.9917199,
638001315083700491,101667,3007,0.5091705,0.06123352,0.8584747,0.4787292,0.0684967,0.8752747,0.1075286,0.08623891,0.9904547,
638001315083780493,101675,3008,0.5040741,0.07002258,0.8608093,0.4809265,0.07498169,0.8735352,0.1188499,0.0881593,0.9889907,
638001315083870493,101684,3009,0.4876709,0.0743866,0.8698425,0.4698792,0.07675171,0.8793793,0.1307132,0.09022908,0.9873058,
638001315083950499,101692,3009,0.4846191,0.07302856,0.8716583,0.4640503,0.06364441,0.8835144,0.1307132,0.09022908,0.9873058,
638001315084030492,101700,3010,0.4624786,0.07554626,0.8833923,0.4545593,0.07847595,0.8872375,0.1437778,0.09196006,0.985328,
638001315084110494,101708,3011,0.4538574,0.09425354,0.8860626,0.4447632,0.06987,0.8929138,0.1570919,0.09354173,0.983144,
638001315084200493,101717,3012,0.4459229,0.08058167,0.8914337,0.4453583,0.06085205,0.8932648,0.1710078,0.09506357,0.9806728,
638001315084280487,101725,3012,0.4554901,0.07336426,0.8871918,0.4265289,0.06546021,0.9020996,0.1710078,0.09506357,0.9806728,
638001315084370492,101734,3013,0.4445496,0.09138489,0.8910675,0.4273987,0.06712341,0.9015503,0.1847993,0.09685355,0.9779921,
638001315084450491,101742,3014,0.4334564,0.06282043,0.8989716,0.4246063,0.06484985,0.9030457,0.1983981,0.09920013,0.9750885,
638001315084530494,101750,3015,0.4392853,0.07255554,0.895401,0.4195404,0.0690155,0.9050903,0.212727,0.1019014,0.9717836,
638001315084610495,101758,3015,0.4988861,0.06729126,0.8640442,0.4747314,0.08473206,0.8760376,0.212727,0.1019014,0.9717836,
638001315084700491,101767,3016,0.5428314,0.06674194,0.8371735,0.5071106,0.08071899,0.858078,0.2270933,0.1049577,0.9682007,
638001315084780493,101775,3017,0.5485687,0.06074524,0.8338776,0.5209656,0.07202148,0.8505249,0.2423318,0.1079369,0.9641706,
638001315084860493,101783,3018,0.5336761,0.06156921,0.8434296,0.5231934,0.06030273,0.8500671,0.2577126,0.1105671,0.9598746,
638001315084950496,101792,3018,0.5265045,0.07870483,0.8465118,0.4998169,0.05592346,0.8643036,0.2577126,0.1105671,0.9598746,
638001315085030491,101800,3019,0.5161591,0.07052612,0.8535767,0.5020752,0.05841064,0.8628387,0.2732433,0.1128675,0.9553005,
638001315085110492,101808,3020,0.5081177,0.06712341,0.8586578,0.4981689,0.0708313,0.8641663,0.2885195,0.1153332,0.9505024,
638001315085200501,101817,3021,0.5002136,0.06962585,0.8630829,0.4890442,0.06262207,0.8699951,0.3035642,0.1194481,0.9452941,
638001315085280499,101825,3021,0.4821625,0.06272888,0.8738251,0.4655762,0.08374023,0.8810272,0.3035642,0.1194481,0.9452941,
638001315085370492,101834,3022,0.4621429,0.06506348,0.8843994,0.4410095,0.06343079,0.8952484,0.3197919,0.1245899,0.9392606,
638001315085450492,101842,3023,0.4517365,0.06356812,0.8898773,0.4421082,0.06629944,0.8945007,0.3377002,0.1304723,0.9321671,
638001315085530492,101850,3024,0.4364014,0.06222534,0.897583,0.4316864,0.06417847,0.8997192,0.3566941,0.1353501,0.9243645,
638001315085610492,101858,3024,0.4372253,0.08277893,0.8955231,0.4198914,0.06182861,0.9054565,0.3566941,0.1353501,0.9243645,
638001315085700493,101867,3025,0.4103699,0.07080078,0.9091492,0.4015808,0.05255127,0.9143066,0.3759241,0.1387667,0.9162014,
638001315085780497,101875,3026,0.4034729,0.05943298,0.9130402,0.3845062,0.06459045,0.9208527,0.3950566,0.1406052,0.9078329,
638001315085870491,101884,3027,0.3850555,0.05726624,0.9210968,0.3717346,0.0532074,0.9268036,0.4127436,0.142398,0.8996475,
638001315085950486,101892,3028,0.367691,0.039505,0.9290924,0.3343811,0.04721069,0.9412384,0.4290332,0.1436216,0.8917978,
638001315086030492,101900,3028,0.3605957,0.0418396,0.931778,0.34198,0.04493713,0.9386292,0.4290332,0.1436216,0.8917978,
638001315086120494,101909,3029,0.3433533,0.03930664,0.9383698,0.3397369,0.03460693,0.9398804,0.4440143,0.1451508,0.8841847,
638001315086200491,101917,3030,0.3368835,0.02984619,0.9410553,0.3252716,0.02828979,0.9451904,0.4574183,0.1456233,0.877247,
638001315086280486,101925,3030,0.3340759,0.03038025,0.9420471,0.310257,0.02322388,0.9503632,0.4574183,0.1456233,0.877247,
638001315086370497,101934,3031,0.3076172,0.01976013,0.9512939,0.2983246,0.0259552,0.9541016,0.4704352,0.1463838,0.8702083,
638001315086450491,101942,3032,0.2990723,0.04115295,0.9533386,0.2976379,0.01786804,0.9544983,0.4824256,0.1467839,0.8635508,
638001315086530492,101950,3033,0.2853851,0.01344299,0.958313,0.2889862,0.01861572,0.9571381,0.4937549,0.1474455,0.8570099,
638001315086620495,101959,3034,0.2752075,0.02644348,0.9610138,0.2835693,0.02403259,0.9586334,0.5047627,0.1474965,0.8505642,
638001315086700492,101967,3034,0.2723541,0.02297974,0.9619141,0.275238,0.01374817,0.9612732,0.5047627,0.1474965,0.8505642,
638001315086780491,101975,3035,0.247818,0.02435303,0.9684906,0.2587738,0.01643372,0.9657898,0.5144431,0.1478707,0.844679,
638001315086870491,101984,3036,0.2500763,0.02272034,0.9679413,0.2495728,0.01820374,0.9681702,0.5234988,0.1486499,0.838959,
638001315086950495,101992,3037,0.2367859,0.0274353,0.9711609,0.2357635,0.005203247,0.9717865,0.5313302,0.149817,0.8338124,
638001315087030492,102000,3037,0.2180481,0.02993774,0.9754639,0.2285767,-0.003326416,0.9735107,0.5313302,0.149817,0.8338124,
638001315087120492,102009,3038,0.2220306,0.02648926,0.9746704,0.2106476,-0.002792358,0.9775543,0.5386523,0.1505807,0.8289627,
638001315087200492,102017,3039,0.2160034,0.02052307,0.9761658,0.2038574,-0.01089478,0.9789276,0.5445466,0.1510917,0.8250092,
638001315087280486,102025,3039,0.2025452,0.02844238,0.9788513,0.1870422,-0.01861572,0.9821625,0.5445466,0.1510917,0.8250092,
638001315087370491,102034,3040,0.2011719,0.02290344,0.9792786,0.1872559,-0.01960754,0.9821014,0.550278,0.1516594,0.8210929,
638001315087450490,102042,3041,0.202774,0.02366638,0.9789276,0.1985474,-0.0027771,0.980072,0.5549558,0.1528616,0.8177148,
