time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
638001325103218984,214728,13759,-0.009262085,-0.2020874,0.9793091,-0.005813599,-0.2106781,0.9775238,0.1085512,0.2037501,0.9729864,
638001325103308984,214737,13759,-0.00932312,-0.2021942,0.9792938,-0.005722046,-0.2103577,0.9776001,0.1085512,0.2037501,0.9729864,
638001325103388982,214745,13760,-0.00958252,-0.2022705,0.9792786,-0.005691528,-0.2103577,0.9776001,0.1084586,0.2034403,0.9730616,
638001325103468980,214753,13761,-0.009307861,-0.2014313,0.9794464,-0.006500244,-0.2078094,0.9781342,0.1083319,0.2032481,0.9731158,
638001325103578986,214764,13762,-0.009124756,-0.2007599,0.9795837,-0.008575439,-0.2066803,0.978363,0.1080328,0.2028275,0.9732369,
638001325103638981,214770,13762,-0.009231567,-0.2007904,0.9795837,-0.008636475,-0.2070618,0.9782867,0.1080328,0.2028275,0.9732369,
638001325103728982,214779,13763,-0.009384155,-0.2002258,0.9796906,-0.008605957,-0.2077026,0.9781494,0.1080577,0.2025205,0.973298,
638001325103808986,214787,13764,-0.008712769,-0.2007446,0.979599,-0.008514404,-0.2080688,0.9780731,0.1077279,0.202128,0.9734161,
638001325103888981,214795,13765,-0.008361816,-0.2003937,0.9796753,-0.008514404,-0.2084198,0.9779968,0.1076316,0.2018427,0.973486,
638001325103968980,214803,13765,-0.008544922,-0.2000885,0.9797363,-0.008483887,-0.2078094,0.9781189,0.1076316,0.2018427,0.973486,
638001325104058981,214812,13766,-0.008544922,-0.2003479,0.9796753,-0.006713867,-0.2073059,0.978241,0.1075709,0.2012278,0.97362,
638001325104138979,214820,13767,-0.008377075,-0.2019501,0.9793549,-0.006484985,-0.2077179,0.9781494,0.1074387,0.2008504,0.9737125,
638001325104218983,214828,13768,-0.008331299,-0.2020569,0.9793243,-0.006484985,-0.207962,0.9781036,0.1071602,0.2005424,0.9738067,
638001325104308981,214837,13768,-0.008529663,-0.1995544,0.9798431,-0.006652832,-0.207077,0.9782867,0.1071602,0.2005424,0.9738067,
638001325104388981,214845,13769,-0.008392334,-0.1996155,0.9798279,-0.006698608,-0.2073212,0.978241,0.1070414,0.2002086,0.9738884,
638001325104468980,214853,13770,-0.008392334,-0.1998291,0.9797821,-0.006790161,-0.2071075,0.9782867,0.1070214,0.1998958,0.9739549,
638001325104568983,214863,13771,-0.008499146,-0.2004242,0.97966,-0.006469727,-0.2072144,0.9782715,0.1068999,0.1997334,0.9740015,
638001325104638980,214870,13771,-0.008300781,-0.2001038,0.9797363,-0.006500244,-0.2075195,0.9781952,0.1068999,0.1997334,0.9740015,
638001325104718984,214878,13772,-0.008300781,-0.2002258,0.9797058,-0.006530762,-0.2078552,0.9781342,0.1067905,0.1997344,0.9740133,
638001325104808983,214887,13773,-0.001876831,-0.2090912,0.97789,-0.0007324219,-0.1960449,0.9805908,0.1067874,0.1997519,0.9740101,
638001325104888983,214895,13774,-0.01902771,-0.1808929,0.9833069,-0.03015137,-0.1862488,0.9820251,0.1067014,0.1995531,0.9740602,
638001325104968979,214903,13774,-0.03898621,-0.1356964,0.989975,-0.04824829,-0.1186218,0.9917603,0.1067014,0.1995531,0.9740602,
638001325105058983,214912,13775,-0.05639648,-0.07991028,0.9951935,-0.05953979,-0.07041931,0.9957275,0.1068002,0.19988,0.9739824,
638001325105138979,214920,13776,-0.06637573,-0.02197266,0.9975433,-0.06907654,-0.0255127,0.9972839,0.1065903,0.1999853,0.9739838,
638001325105218982,214928,13777,-0.0680542,0.01000977,0.9976196,-0.07473755,-0.001403809,0.9971924,0.1067288,0.2003138,0.9739011,
638001325105308982,214937,13777,-0.06159973,0.04167175,0.9972229,-0.0736084,0.03079224,0.9967957,0.1067288,0.2003138,0.9739011,
638001325105388978,214945,13778,-0.05908203,0.08534241,0.9945831,-0.070755,0.05834961,0.9957733,0.1067286,0.2006547,0.9738309,
638001325105468979,214953,13779,-0.06472778,0.1151428,0.9912262,-0.05363464,0.08131409,0.9952393,0.10676,0.2011966,0.9737157,
638001325105558984,214962,13780,-0.05961609,0.1338806,0.9891968,-0.05857849,0.09376526,0.993866,0.1070052,0.2018487,0.9735538,
638001325105638979,214970,13780,-0.06065369,0.1413269,0.9880981,-0.05105591,0.1017609,0.9934845,0.1070052,0.2018487,0.9735538,
638001325105718981,214978,13781,-0.06340027,0.1374207,0.9884644,-0.04246521,0.08728027,0.9952698,0.1069809,0.2026601,0.9733879,
638001325105808986,214987,13782,-0.06549072,0.1361084,0.9885101,-0.05271912,0.09280396,0.994278,0.107055,0.2035471,0.9731947,
638001325105888983,214995,13783,-0.06188965,0.135437,0.9888458,-0.04870605,0.09329224,0.9944305,0.107399,0.2046075,0.9729343,
