time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z,
637995213010320770,70311,2559,-0.02015686,-0.009033203,0.9997406,-0.002090454,0.008026123,0.9999542,-0.04001757,0.2366117,0.9707798,
637995213010390770,70317,2560,-0.02284241,-0.01080322,0.9996796,-0.001861572,0.007598877,0.9999542,-0.03970899,0.2358406,0.9709801,
637995213010480771,70326,2561,-0.02320862,-0.01025391,0.9996643,-0.001525879,0.007949829,0.9999542,-0.03946787,0.2351471,0.9711581,
637995213010560778,70334,2562,-0.02410889,-0.01089478,0.999649,-0.001174927,0.009216309,0.9999542,-0.03905341,0.2343079,0.9713777,
637995213010640768,70342,2563,-0.02461243,-0.01319885,0.9996033,-0.001022339,0.009460449,0.9999542,-0.03896546,0.2335836,0.9715557,
637995213010730771,70351,2563,-0.02442932,-0.02142334,0.9994659,-0.000869751,0.00970459,0.999939,-0.03896546,0.2335836,0.9715557,
637995213010810772,70359,2564,-0.025177,-0.009765625,0.9996338,-0.0004119873,0.009460449,0.9999542,-0.03886519,0.2328118,0.9717449,
637995213010900777,70368,2565,-0.02328491,-0.01220703,0.999649,6.103516E-05,0.009368896,0.9999542,-0.03870289,0.2318136,0.97199,
637995213010980775,70376,2566,-0.02302551,-0.01618958,0.9996033,0.0003356934,0.00831604,0.9999542,-0.038616,0.2311477,0.972152,
637995213011060775,70384,2566,-0.02209473,-0.01301575,0.9996643,-0.000213623,0.007369995,0.9999695,-0.038616,0.2311477,0.972152,
637995213011150770,70393,2567,-0.022995,-0.01176453,0.9996643,-0.0005950928,0.005615234,0.9999695,-0.03824588,0.2310893,0.9721805,
637995213011230770,70401,2568,-0.02268982,-0.01225281,0.9996643,-0.002563477,0.005691528,0.9999695,-0.03822518,0.2310587,0.9721886,
637995213011310771,70409,2569,-0.02235413,-0.01277161,0.9996643,-0.003158569,0.005630493,0.9999695,-0.03811097,0.2311552,0.9721702,
637995213011400772,70418,2569,-0.02229309,-0.0135498,0.999649,-0.003707886,0.005157471,0.9999695,-0.03811097,0.2311552,0.9721702,
637995213011480771,70426,2570,-0.02233887,-0.01426697,0.9996338,-0.00378418,0.004943848,0.9999695,-0.0382144,0.2313343,0.9721235,
637995213011560778,70434,2571,-0.02270508,-0.01480103,0.9996185,-0.00440979,0.004135132,0.9999695,-0.03811736,0.2314703,0.972095,
637995213011640774,70442,2572,-0.02308655,-0.01533508,0.9996033,-0.005828857,0.004837036,0.9999695,-0.03838148,0.2317021,0.9720293,
637995213011730763,70451,2572,-0.02287292,-0.01542664,0.9996185,-0.006271362,0.004470825,0.9999695,-0.03838148,0.2317021,0.9720293,
637995213011810771,70459,2573,-0.02268982,-0.01544189,0.9996185,-0.006469727,0.00239563,0.9999695,-0.03887526,0.2319424,0.9719524,
637995213011900763,70468,2574,-0.02284241,-0.01501465,0.9996185,-0.006256104,0.00213623,0.9999695,-0.03923799,0.2321388,0.9718909,
637995213011980770,70476,2575,-0.02297974,-0.01550293,0.9996033,-0.005966187,0.002639771,0.9999695,-0.03980853,0.232237,0.9718443,
637995213012060773,70484,2575,-0.02397156,-0.01452637,0.9996033,-0.00567627,0.001846313,0.9999695,-0.03980853,0.232237,0.9718443,
637995213012140770,70492,2576,-0.02351379,-0.01469421,0.9996033,-0.004760742,0.001815796,0.9999847,-0.04081778,0.2322067,0.9718096,
637995213012230770,70501,2577,-0.02294922,-0.01457214,0.9996185,-0.004272461,0.001617432,0.9999847,-0.04145861,0.2321604,0.9717935,
637995213012310770,70509,2578,-0.02278137,-0.0146637,0.9996185,-0.003585815,0.000869751,0.9999847,-0.04239631,0.2320238,0.9717857,
637995213012400772,70518,2578,-0.02235413,-0.01467896,0.9996338,-0.004669189,0.0008850098,0.9999847,-0.04239631,0.2320238,0.9717857,
637995213012480770,70526,2579,-0.02215576,-0.01467896,0.9996338,-0.003952026,0.001449585,0.9999847,-0.04328112,0.2320729,0.971735,
637995213012560777,70534,2580,-0.02218628,-0.01542664,0.9996338,-0.004043579,0.00213623,0.9999847,-0.04415766,0.2318941,0.9717383,
637995213012650769,70543,2581,-0.02226257,-0.01582336,0.9996185,-0.00428772,0.002075195,0.9999847,-0.04514787,0.2315304,0.9717795,
637995213012730772,70551,2581,-0.02149963,-0.0165863,0.9996185,-0.00428772,0.001800537,0.9999847,-0.04514787,0.2315304,0.9717795,
637995213012810769,70559,2582,-0.02149963,-0.01657104,0.9996185,-0.00428772,0.001800537,0.9999847,-0.04607774,0.2313029,0.97179,
637995213012890770,70567,2583,-0.0201416,-0.01693726,0.999649,-0.004074097,0.001358032,0.9999847,-0.04723036,0.2309783,0.9718119,
637995213012980770,70576,2584,-0.02000427,-0.01647949,0.999649,-0.004074097,0.000793457,0.9999847,-0.04812464,0.2306345,0.9718497,
637995213013060776,70584,2584,-0.0171814,-0.01153564,0.9997711,-0.003799438,0.0006408691,0.9999847,-0.04812464,0.2306345,0.9718497,
637995213013140770,70592,2585,-0.01831055,-0.01480103,0.9997101,-0.004135132,0.0005340576,0.9999847,-0.04881984,0.230363,0.9718794,
637995213013230769,70601,2586,-0.01655579,-0.01672363,0.9997101,-0.003265381,0.001266479,0.9999847,-0.04980171,0.2300546,0.9719026,
637995213013310770,70609,2587,-0.01483154,-0.01568604,0.9997559,-0.003097534,0.002166748,0.9999847,-0.05067186,0.2300667,0.9718547,
