time(100ns),User_ID,linear_score_0,linear_total_score_0,linear_score_1,linear_total_score_1,linear_score_2,linear_total_score_2,arc_score_0,arc_total_score_0,arc_score_1,arc_total_score_1,arc_score_2,arc_total_score_2,rapid_score_0,rapid_total_score_0,rapid_score_1,rapid_total_score_1,rapid_score_2,rapid_total_score_2,avoid_score_0,avoid_total_score_0,avoid_score_1,avoid_total_score_1,avoid_score_2,avoid_total_score_2
638520707930941708,110,561,631,483,630,528,631,0,631,0,631,0,631,7,7,6,6,5,5,2,4,4,4,4,5
638520716148572151,112,439,631,452,631,518,631,212,631,513,631,134,631,7,7,9,9,5,5,5,5,6,6,3,4
638521428900144430,111111,473,631,572,631,557,631,583,631,504,631,548,631,7,7,6,6,5,5,4,4,6,6,6,6
638525002594571928,999999,7029,8104,7126,8104,6798,8104,6287,8104,6578,8104,5382,8104,112,112,103,104,103,105,110,111,112,113,105,106
638549106385201420,Narayani,1688,4052,1549,4052,1720,4052,1333,4052,619,4052,1003,4052,26,30,36,39,33,36,40,42,29,34,23,30
638634647925208153,100202,411,451,328,451,428,451,429,451,390,451,430,451,6,6,6,6,3,3,4,4,0,0,5,5
638639877150648394,100801,6000,8096,6200,8101,6075,8096,6087,8104,5539,8104,6102,8103,103,105,108,108,103,104,106,107,108,108,91,94
638640784366704093,100903,7004,8102,7150,8104,6846,8103,7093,8103,6838,8104,7152,8104,101,101,103,104,105,108,102,106,94,95,104,106
638640882406368334,78,7095,8104,7303,8104,6768,8104,6833,8104,6096,8104,6672,8104,77,83,93,95,95,98,90,93,96,97,86,87
638641709276316929,101001,4548,8101,3595,8104,2309,8104,1946,8104,2513,8104,3903,8104,66,70,71,72,70,73,66,72,77,79,70,72
638641770380896973,101002,4326,8104,4604,8104,4196,8104,2842,8104,3325,8104,3322,8104,82,86,85,87,88,91,82,89,82,86,89,93
638735797236089462,20250127010,6772,8104,6318,8104,6175,8104,7339,8104,6428,8104,6439,8104,95,97,86,87,90,92,87,90,94,95,89,93
638781635876831373,2025032104,7601,8104,7549,8104,7409,8104,6675,8104,6878,8104,6801,8104,94,97,90,92,89,90,97,98,100,101,94,97
638792789068327115,2025040302,7318,8096,7614,8094,7522,8095,7431,8096,7178,8095,7057,8099,96,99,100,102,105,106,96,99,90,92,101,103
638804015976479002,2025041602,7047,8094,6307,8098,6310,8100,5779,8099,6164,8099,6154,8102,115,115,103,106,106,106,102,102,114,114,111,112
638809286002877714,2025042201,6614,8098,6702,8100,6472,8099,5523,8099,5692,8102,5852,8102,114,114,120,122,100,103,103,104,99,103,106,110
